,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.83,0.9,0.91,0.64,0.74,0.56,0.73,0.74,0.64,0.69
autoopencas.csv,0.6,0.86,0.79,0.79,0.72,0.82,0.69,0.85,0.88,0.73
gogoego.csv,0.56,0.56,0.61,0.61,0.45,0.46,0.9,0.42,0.77,0.57
jam-daq.csv,0.56,0.54,0.81,0.9,0.75,0.47,0.94,0.94,0.42,0.94
jhotdraw.csv,0.42,0.79,0.39,0.67,0.44,0.84,0.55,0.49,0.68,0.69
pokeglobal.csv,0.39,0.37,0.42,0.41,0.45,0.36,0.41,0.49,0.35,0.42
robocode.csv,0.58,0.46,0.46,0.49,0.5,0.61,0.37,0.76,0.4,0.5
springside.csv,0.55,0.33,0.41,0.45,0.46,0.35,0.38,0.46,0.43,0.45
trinitycore.csv,0.86,0.7,0.62,0.54,0.86,0.54,0.57,0.91,0.58,0.53
uwom-server.csv,0.62,0.56,0.75,0.52,0.5,0.73,0.53,0.82,0.54,0.52
