,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.07,0.25,0.02,0.71,0.09,0.62,0.54,0.21,0.33,0.66
autoopencas.csv,0.76,0.54,0.28,0.49,0.57,0.37,0.21,0.55,0.09,0.55
gogoego.csv,0.28,0.14,0.3,0.21,0.71,0.51,0.08,0.51,0.2,0.23
jam-daq.csv,0.1,0.18,0.14,0.19,0.17,0.48,0.12,0.08,0.31,0.17
jhotdraw.csv,0.93,0.29,0.93,0.55,0.89,0.16,0.67,0.99,0.28,0.53
pokeglobal.csv,0.28,0.5,0.51,0.87,0.63,0.96,0.88,0.25,0.59,0.86
robocode.csv,0.31,0.25,0.52,0.33,0.49,0.36,0.44,0.51,0.78,0.33
springside.csv,0.14,0.43,0.82,0.62,0.57,0.7,0.54,0.22,0.46,0.63
trinitycore.csv,0.1,0.43,0.31,0.34,0.2,0.46,0.28,0.05,0.39,0.37
uwom-server.csv,0.24,0.32,0.18,0.36,0.03,0.23,0.32,0.1,0.3,0.37
