,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.17,0.18,0.11,0.26,0.88,0.3,0.38,0.41,0.5,0.25
autoopencas.csv,0.5,0.31,0.18,0.29,0.53,0.26,0.64,0.23,0.11,0.29
gogoego.csv,0.56,0.62,0.44,0.47,0.65,0.22,0.0,0.64,0.33,0.47
jam-daq.csv,0.51,0.44,0.38,0.15,0.1,0.33,0.03,0.25,0.67,0.16
jhotdraw.csv,0.72,0.32,0.37,0.29,0.67,0.48,0.45,0.45,0.42,0.27
pokeglobal.csv,0.73,0.6,0.43,0.41,0.75,0.31,0.43,0.51,0.64,0.4
robocode.csv,0.61,0.72,0.45,0.48,0.25,0.28,0.32,0.37,0.62,0.46
springside.csv,0.57,0.6,0.38,0.47,0.69,0.33,0.46,0.64,0.48,0.47
trinitycore.csv,0.17,0.37,0.27,0.43,0.0,0.27,0.3,0.2,0.41,0.44
uwom-server.csv,0.32,0.44,0.27,0.47,0.06,0.26,0.32,0.34,0.55,0.46
