,rhex.csv,jcae.csv,popeye-chess.csv,openmalaria.csv,archive-crawler.csv,acdk.csv,truevision.csv,rocrail.csv
acdk.csv,0.33,0.67,0.49,0.55,0.43,0.77,0.66,0.73
archive-crawler.csv,0.33,0.89,0.74,0.62,0.57,0.76,0.53,0.73
jcae.csv,0.0,0.78,0.29,0.26,0.65,0.77,0.21,0.86
openmalaria.csv,0.67,1.0,0.6,0.74,0.65,0.83,0.66,0.95
popeye-chess.csv,0.5,0.67,0.63,0.5,0.7,0.7,0.79,0.95
rhex.csv,0.92,0.44,0.17,0.31,0.22,0.01,0.58,0.64
rocrail.csv,0.42,0.78,0.4,0.6,0.65,0.7,0.68,0.86
truevision.csv,0.33,0.78,0.49,0.74,0.26,0.68,0.68,0.73
