,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.22,0.35,0.12,0.44,0.57,0.32,0.7,0.98,0.46,0.21
haphazard.csv,0.09,0.14,0.0,0.12,0.14,0.05,0.51,0.09,1.0,0.09
jicarilla.csv,0.16,0.0,0.97,0.06,0.0,0.05,0.03,0.16,0.0,0.0
ondex.csv,0.36,0.32,0.0,0.12,0.86,0.26,0.0,0.68,0.69,0.91
optalgtoolkit.csv,0.67,0.76,0.06,0.81,0.86,1.0,0.59,0.59,0.08,0.48
ossim.csv,0.05,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.66,0.97,0.61,0.81,1.0,0.84,1.0,0.3,0.62,0.7
sabbu.csv,0.98,0.38,0.09,0.69,0.57,0.32,0.46,0.34,0.54,0.7
vxl.csv,0.5,0.92,0.97,0.06,0.0,0.05,0.84,0.91,0.15,0.09
zact.csv,0.03,0.0,0.0,0.06,1.0,0.47,0.0,0.11,0.0,0.0
