,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.26,0.38,0.14,0.46,0.56,0.31,0.52,0.98,0.46,0.25
haphazard.csv,0.11,0.17,0.0,0.14,0.17,0.06,0.54,0.11,1.0,0.11
jicarilla.csv,0.19,0.0,0.97,0.07,0.0,0.06,0.04,0.19,0.0,0.0
ondex.csv,0.41,0.36,0.0,0.14,0.57,0.3,0.0,0.53,0.66,0.93
optalgtoolkit.csv,0.67,0.56,0.07,0.68,0.71,1.0,0.58,0.54,0.1,0.49
ossim.csv,0.06,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
projectts.csv,0.67,0.24,0.56,0.71,0.67,0.34,1.0,0.33,0.6,0.57
sabbu.csv,0.98,0.41,0.11,0.66,0.53,0.36,0.49,0.36,0.5,0.67
vxl.csv,0.41,0.93,0.6,0.07,0.0,0.06,0.44,0.37,0.18,0.11
zact.csv,0.04,0.0,0.0,0.07,1.0,0.5,0.0,0.13,0.0,0.0
