,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.8,0.75,0.91,0.73,0.63,0.99,0.8,0.02,0.75,0.83
haphazard.csv,0.95,0.91,1.0,0.9,0.88,0.95,0.55,0.91,0.0,0.91
jicarilla.csv,0.9,1.0,0.06,0.94,1.0,0.95,0.98,0.84,1.0,1.0
ondex.csv,0.64,0.75,1.0,0.94,0.78,0.75,1.0,0.79,0.54,0.09
optalgtoolkit.csv,0.48,0.77,0.97,0.61,0.61,0.0,0.6,0.74,1.02,0.69
ossim.csv,0.95,1.0,1.0,0.06,1.0,1.0,1.0,1.0,1.0,1.0
projectts.csv,0.47,0.94,0.69,0.57,0.71,0.92,0.0,0.86,0.62,0.75
sabbu.csv,0.02,0.75,0.95,0.54,0.73,0.76,0.66,0.83,0.77,0.53
vxl.csv,0.91,0.08,0.76,0.99,1.07,0.95,0.87,0.89,0.88,0.92
zact.csv,0.97,1.0,1.0,0.94,0.0,0.62,1.0,0.89,1.0,1.0
