,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.2,0.39,0.24,0.46,0.46,0.71,0.74,0.0,0.52,0.25
haphazard.csv,0.26,0.29,0.03,0.22,0.18,0.0,0.26,0.06,0.0,0.1
jicarilla.csv,0.3,0.0,0.05,0.12,0.02,0.03,0.11,0.06,0.06,0.0
ondex.csv,0.09,0.33,0.03,0.33,0.76,0.13,0.04,0.72,0.44,0.0
optalgtoolkit.csv,0.35,0.73,0.24,0.58,0.59,0.0,0.44,0.61,0.44,0.46
ossim.csv,0.04,0.03,0.0,0.01,0.0,0.0,0.04,0.0,0.02,0.01
projectts.csv,0.31,0.94,0.57,0.53,0.71,0.9,0.0,0.5,0.48,0.68
sabbu.csv,0.0,0.41,0.27,0.44,0.59,0.32,0.37,0.5,0.62,0.44
vxl.csv,0.76,0.0,0.76,0.33,0.37,0.06,0.85,0.89,0.23,0.15
zact.csv,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.11,0.0,0.0
