,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.94,0.11,0.59,0.11,0.42,0.36
fluent-nhibernate.csv,0.19,0.13,0.07,0.06,0.05,1.0
h2database.csv,0.43,0.91,0.04,0.04,0.15,0.28
jaql.csv,0.6,0.49,0.42,0.99,0.39,0.63
raven-monitoring.csv,0.54,0.34,0.93,0.5,0.47,0.07
v8.csv,0.49,0.45,0.44,0.56,1.0,0.71
