,gtad.csv,kaffeine.csv,taokgame.csv,htmlunit.csv,jsr308-langtools.csv,continuum-ide.csv,anaxagora.csv,stemkit.csv,buddata-ebxml-registry.csv
anaxagora.csv,0.39,0.0,0.41,0.44,0.25,0.74,0.28,0.62,0.25
buddata-ebxml-registry.csv,1.0,1.0,0.99,0.86,0.85,0.97,0.94,0.89,0.0
continuum-ide.csv,0.1,0.55,0.29,0.37,0.05,0.28,0.24,0.21,0.0
gtad.csv,0.17,0.0,0.24,0.14,0.0,0.33,0.14,0.17,0.0
htmlunit.csv,0.54,0.0,0.29,0.27,0.1,0.54,0.48,0.47,0.25
jsr308-langtools.csv,0.46,0.0,0.35,0.01,0.05,0.62,0.44,0.74,0.0
kaffeine.csv,0.94,0.09,0.51,0.64,0.95,0.87,0.5,0.74,0.25
stemkit.csv,0.18,0.45,0.39,0.19,0.05,0.03,0.31,0.24,0.5
taokgame.csv,0.28,0.0,0.1,0.07,0.25,0.23,0.46,0.14,0.5
