,gtad.csv,kaffeine.csv,taokgame.csv,htmlunit.csv,jsr308-langtools.csv,continuum-ide.csv,anaxagora.csv,stemkit.csv,buddata-ebxml-registry.csv
anaxagora.csv,0.03,1.0,0.15,0.41,0.76,0.36,0.29,0.08,0.98
buddata-ebxml-registry.csv,0.03,0.81,0.07,0.34,0.63,0.31,0.16,0.09,1.0
continuum-ide.csv,0.12,0.6,0.0,0.43,0.9,0.52,0.16,0.06,1.0
gtad.csv,0.14,1.0,0.05,0.59,1.0,0.32,0.25,0.14,1.0
htmlunit.csv,0.05,1.0,0.14,0.52,0.89,0.32,0.17,0.08,0.98
jsr308-langtools.csv,0.06,1.0,0.15,0.9,0.96,0.35,0.24,0.07,1.0
kaffeine.csv,0.03,0.98,0.02,0.39,0.61,0.33,0.19,0.07,0.97
stemkit.csv,0.0,0.81,0.16,0.44,0.93,0.83,0.11,0.23,0.91
taokgame.csv,0.05,1.0,0.56,0.22,0.55,0.31,0.12,0.09,0.93
