,gtad.csv,kaffeine.csv,taokgame.csv,htmlunit.csv,jsr308-langtools.csv,continuum-ide.csv,anaxagora.csv,stemkit.csv,buddata-ebxml-registry.csv
anaxagora.csv,0.48,0.41,0.45,0.44,0.52,0.29,0.57,0.37,0.33
buddata-ebxml-registry.csv,0.34,0.41,0.38,0.35,0.43,0.31,0.37,0.39,0.34
continuum-ide.csv,0.88,0.93,0.58,0.41,0.8,0.39,0.68,0.94,0.8
gtad.csv,0.71,0.86,0.57,0.66,0.55,0.47,0.8,0.71,0.82
htmlunit.csv,0.33,0.43,0.57,0.45,0.37,0.32,0.44,0.38,0.33
jsr308-langtools.csv,0.4,0.39,0.56,0.9,0.39,0.3,0.5,0.35,0.5
kaffeine.csv,0.33,0.34,0.4,0.31,0.41,0.27,0.4,0.33,0.38
stemkit.csv,0.85,0.63,0.74,0.77,0.53,0.83,0.76,0.73,0.91
taokgame.csv,0.76,0.75,0.94,0.94,0.91,0.77,0.65,0.91,0.67
