,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,1.0,0.93,1.0,0.99,0.86,0.89,0.86,0.81,0.98,0.95,0.91,0.82,0.94,0.86
cubefs.csv,0.89,0.49,0.31,0.9,0.53,0.29,0.78,0.99,0.14,0.6,0.94,0.77,0.6,0.45
gisgraphy.csv,0.58,0.14,0.44,0.09,0.5,0.33,0.44,0.35,0.28,0.2,0.32,0.28,0.29,1.0
iaml.csv,0.58,0.48,0.75,0.51,0.58,0.67,0.96,0.35,0.49,0.52,0.45,0.73,0.54,0.64
ivatamasks.csv,0.89,0.44,0.81,0.98,0.65,0.45,0.3,0.17,0.26,0.45,0.43,0.62,0.69,0.5
kolmafia.csv,0.37,0.6,0.62,0.69,0.51,0.53,0.29,0.1,0.09,0.68,0.98,0.52,0.43,0.5
ogrehg.csv,0.21,0.52,0.5,0.32,0.5,0.91,0.63,0.56,0.3,0.57,0.45,0.53,0.69,0.36
olex2.csv,0.11,0.41,0.31,0.43,0.5,0.59,0.29,0.48,0.19,0.52,0.45,0.97,0.49,0.5
openwbem.csv,0.79,0.93,0.81,0.54,0.52,0.64,0.5,0.9,0.45,0.68,0.55,0.68,0.49,0.73
oppna-program-hsatools.csv,0.95,0.91,0.81,0.98,0.99,0.73,0.63,0.84,0.38,0.88,0.87,0.48,0.77,0.59
orc.csv,0.05,0.08,1.0,0.12,0.55,0.13,0.26,0.3,0.0,0.15,0.49,0.0,0.0,0.73
ta3d.csv,0.79,0.61,0.5,0.76,0.8,0.57,0.52,0.48,0.72,0.75,0.79,0.75,0.94,0.95
umber.csv,1.0,0.29,0.56,0.56,0.52,0.54,0.3,0.26,0.06,0.5,0.74,0.5,0.57,0.14
xcmetadataservicestoolkit.csv,0.74,0.36,0.69,0.7,0.23,0.26,0.81,0.18,0.48,1.0,0.64,0.17,0.09,0.36
