,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.43,0.52,0.21,0.8,0.87,0.6,0.7,0.75,0.98,0.83,0.7,0.62,0.82,0.44
cubefs.csv,0.54,0.45,0.1,0.81,0.67,0.32,0.66,0.99,0.23,0.67,0.7,0.59,0.64,0.3
gisgraphy.csv,0.34,0.21,0.17,0.16,0.6,0.36,0.51,0.47,0.37,0.3,0.42,0.32,0.4,1.0
iaml.csv,0.35,0.4,0.21,0.61,0.67,0.53,0.97,0.45,0.59,0.59,0.47,0.61,0.61,0.42
ivatamasks.csv,0.49,0.37,0.29,0.99,0.75,0.43,0.39,0.27,0.38,0.55,0.47,0.54,0.68,0.34
kolmafia.csv,0.39,0.57,0.28,0.74,0.67,0.49,0.35,0.19,0.15,0.71,0.99,0.55,0.55,0.33
ogrehg.csv,0.16,0.48,0.25,0.47,0.61,0.93,0.64,0.61,0.42,0.63,0.46,0.51,0.7,0.36
olex2.csv,0.1,0.44,0.11,0.56,0.67,0.51,0.38,0.58,0.31,0.61,0.52,0.97,0.58,0.33
openwbem.csv,0.42,0.95,0.22,0.63,0.63,0.48,0.51,0.78,0.57,0.69,0.56,0.56,0.6,0.49
oppna-program-hsatools.csv,0.42,0.51,0.26,0.8,0.99,0.51,0.61,0.76,0.54,0.81,0.69,0.52,0.76,0.34
orc.csv,0.04,0.14,1.0,0.21,0.67,0.22,0.36,0.43,0.0,0.23,0.49,0.0,0.0,0.57
ta3d.csv,0.45,0.54,0.12,0.76,0.81,0.45,0.55,0.56,0.76,0.76,0.67,0.57,0.97,0.59
umber.csv,0.97,0.35,0.27,0.65,0.67,0.45,0.37,0.39,0.1,0.6,0.69,0.46,0.66,0.19
xcmetadataservicestoolkit.csv,0.39,0.37,0.18,0.72,0.37,0.31,0.69,0.3,0.6,1.0,0.61,0.22,0.15,0.25
