,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.91,0.93,0.84,0.98,0.54,0.7,0.82,0.79,0.06,0.93,0.85,0.73,0.75,0.95
cubefs.csv,0.5,0.63,0.87,0.67,0.54,0.78,0.82,0.01,0.91,0.67,0.87,0.73,0.74,0.91
gisgraphy.csv,0.75,0.87,0.71,0.91,0.93,0.74,0.68,0.71,1.06,0.89,0.73,0.82,0.78,0.0
iaml.csv,0.73,0.72,0.66,0.6,0.78,0.65,0.04,0.82,0.77,0.82,0.77,0.64,0.68,0.74
ivatamasks.csv,0.61,0.76,0.47,0.02,0.56,0.69,0.78,0.84,0.81,0.72,0.74,0.67,0.81,0.83
kolmafia.csv,0.66,0.49,0.49,0.49,0.49,0.62,0.85,0.9,0.93,0.68,0.02,0.57,0.65,0.87
ogrehg.csv,0.94,0.6,0.57,0.69,0.89,0.09,0.6,0.74,0.8,0.79,0.81,0.67,0.7,0.71
olex2.csv,0.96,0.64,0.84,0.61,0.5,0.61,0.77,0.65,0.84,0.71,0.63,0.04,0.68,0.87
openwbem.csv,0.7,0.08,0.67,0.57,0.84,0.75,0.78,0.89,0.74,0.8,0.68,0.72,0.6,0.63
oppna-program-hsatools.csv,0.89,0.93,0.53,1.0,0.04,0.77,0.7,0.87,0.63,0.74,0.78,0.61,0.61,0.97
orc.csv,1.1,0.92,0.0,0.88,0.66,0.87,0.78,0.73,1.0,0.97,0.8,1.0,1.0,0.46
ta3d.csv,0.64,0.53,0.93,0.53,0.85,0.74,0.68,0.74,0.65,0.65,0.7,0.77,0.06,0.59
umber.csv,0.02,0.74,0.53,0.54,0.52,0.71,0.83,0.75,0.96,0.68,0.57,0.76,0.57,0.88
xcmetadataservicestoolkit.csv,0.76,0.72,0.76,0.63,0.77,0.78,0.75,0.82,0.65,0.0,0.67,0.88,0.92,0.95
