,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.51,0.72,1.02,0.57,0.91,0.38,0.79,0.72,0.61,0.67,0.07,0.6,0.7,0.62,0.67,0.59,0.58,0.63,0.62
auber.csv,0.67,0.65,1.08,0.48,0.61,0.65,0.68,0.89,0.48,0.76,0.84,0.72,0.03,0.65,1.14,0.82,0.92,0.67,0.64
cortex-vfx.csv,0.62,0.8,1.01,0.7,0.73,0.24,0.7,0.88,0.69,0.72,0.68,0.61,0.8,0.14,0.6,0.72,0.45,0.59,0.61
empserver.csv,0.57,0.76,1.3,0.61,0.5,0.77,0.06,0.82,0.71,0.82,0.62,0.57,0.55,0.51,1.17,0.78,0.75,0.65,0.64
flylegacy.csv,0.53,0.05,1.02,0.76,0.54,0.71,0.81,0.79,0.67,0.7,0.45,0.45,0.73,0.5,0.72,0.69,0.78,0.66,0.72
galaxium.csv,0.48,0.67,1.0,0.84,0.88,0.85,0.85,1.0,0.58,0.85,0.85,0.02,0.93,0.79,0.67,0.85,0.92,0.9,0.74
growl-for-windows.csv,0.69,0.66,0.66,0.6,0.61,0.19,0.68,0.68,0.52,0.73,0.63,0.58,0.66,0.58,0.24,0.64,0.03,0.71,0.5
k3d.csv,0.85,0.89,1.0,0.7,0.01,0.84,0.89,1.01,0.99,0.92,1.0,0.92,0.91,0.99,1.0,0.93,1.0,1.0,0.76
libarchive.csv,0.61,0.62,0.5,0.52,0.58,0.33,0.7,0.65,0.7,0.58,0.42,0.49,0.66,0.57,1.05,0.7,0.33,0.62,0.04
linux-ntfs.csv,0.52,0.51,0.29,0.7,0.88,0.18,0.73,0.8,0.68,0.7,0.59,0.52,0.69,0.59,1.21,0.08,0.45,0.88,0.59
m-a-d-n-e-s-s.csv,0.69,0.84,1.0,0.87,0.94,0.35,0.92,0.93,0.89,0.0,0.52,0.94,0.93,0.9,0.91,0.92,0.53,0.95,0.76
novembre.csv,0.72,0.92,1.07,0.0,0.87,0.67,1.0,0.87,0.84,0.79,0.85,0.97,0.8,0.83,0.97,0.81,0.86,0.75,0.86
qtwin.csv,0.92,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0
st-filteredstatistics.csv,0.74,0.8,1.06,0.82,0.72,0.79,0.86,0.77,0.0,0.68,0.66,0.46,0.8,0.53,0.36,0.71,0.76,0.81,0.67
tweetsharp.csv,0.84,0.78,0.51,0.66,0.59,0.82,0.84,0.88,0.71,0.63,0.74,0.55,0.86,0.69,1.04,0.64,0.52,0.13,0.59
unladen-swallow.csv,0.47,0.8,1.22,0.71,0.89,0.78,0.91,0.7,0.83,0.86,1.05,0.81,0.89,0.99,1.0,0.73,1.03,0.72,0.87
wishmaster.csv,0.88,0.77,1.0,0.88,0.97,0.88,1.0,0.07,0.96,0.8,0.92,0.76,0.97,0.88,0.9,1.0,0.6,0.81,1.0
