,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.55,0.54,0.92,0.53,0.96,0.71,0.65,0.44,0.56,0.57,0.57,0.69,0.53,0.52,0.53,0.58,0.84,0.59,0.65
auber.csv,0.55,0.57,0.67,0.5,0.62,0.57,0.81,0.55,0.36,0.61,0.75,0.57,0.52,0.66,0.48,0.41,0.88,0.38,0.76
cortex-vfx.csv,0.67,0.6,0.98,0.69,0.83,0.72,0.71,0.71,0.83,0.76,0.81,0.85,0.79,0.93,0.52,0.78,0.79,0.7,0.77
empserver.csv,0.54,0.51,0.38,0.45,0.67,0.57,0.56,0.38,0.43,0.45,0.47,0.48,0.56,0.45,0.54,0.5,0.62,0.37,0.64
flylegacy.csv,0.45,0.38,0.91,0.37,0.68,0.52,0.89,0.4,0.38,0.74,0.45,0.46,0.48,0.47,0.62,0.41,0.62,0.42,0.82
galaxium.csv,0.48,0.57,0.98,0.77,0.9,0.81,0.91,0.0,0.53,0.9,0.98,0.59,0.88,0.92,0.58,0.75,0.75,0.75,0.81
growl-for-windows.csv,0.56,0.31,0.37,0.4,0.46,0.59,0.48,0.42,0.36,0.41,0.48,0.47,0.53,0.56,0.39,0.39,0.57,0.34,0.54
k3d.csv,1.0,0.88,0.75,0.77,0.97,1.0,0.92,0.86,0.67,0.5,0.0,0.89,0.89,0.5,0.0,0.75,0.0,0.0,0.85
libarchive.csv,0.48,0.38,0.44,0.42,0.5,0.52,0.52,0.41,0.38,0.37,0.44,0.42,0.46,0.46,0.38,0.36,0.65,0.35,0.55
linux-ntfs.csv,0.56,0.44,0.81,0.56,0.74,0.56,0.59,0.51,0.53,0.7,0.59,0.6,0.73,0.5,0.68,0.58,0.69,0.85,0.66
m-a-d-n-e-s-s.csv,0.87,0.91,0.97,0.8,0.92,0.86,0.83,0.5,0.86,0.64,0.62,0.86,0.83,0.98,0.8,0.5,0.94,0.67,0.83
novembre.csv,0.8,0.8,0.7,0.67,0.9,0.99,0.0,0.92,0.73,0.69,0.98,0.86,0.86,0.98,0.5,0.88,0.8,0.85,0.86
qtwin.csv,0.99,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st-filteredstatistics.csv,0.51,0.4,0.59,0.33,0.44,0.51,0.42,0.38,0.33,0.51,0.5,0.45,0.51,0.46,0.38,0.45,0.49,0.49,0.53
tweetsharp.csv,0.59,0.94,0.64,0.45,0.8,0.56,0.9,0.38,0.36,0.52,0.45,0.68,0.54,0.52,0.43,0.45,0.62,0.48,0.72
unladen-swallow.csv,1.0,0.57,0.4,0.62,0.49,0.76,0.49,0.77,0.67,0.6,0.66,0.6,0.71,0.89,0.0,0.87,0.42,0.85,0.59
wishmaster.csv,1.0,0.85,0.98,0.88,0.87,0.87,0.5,0.92,0.75,0.89,0.99,0.5,0.91,0.98,0.83,0.0,0.9,0.94,0.5
