,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.75,0.36,0.35,0.14,0.6,0.89,0.37,0.94,1.0,0.38,0.39,0.5,0.22,0.06,0.42,0.84,0.61
beast-mcmc.csv,0.84,0.13,0.51,0.17,0.52,0.8,0.23,0.96,1.0,0.61,0.48,0.46,0.09,0.04,0.38,0.7,0.61
bscwweasel.csv,0.0,0.13,0.44,0.34,0.33,1.0,0.14,0.95,1.0,0.56,0.56,0.44,0.14,0.0,0.0,0.69,0.57
codeblocks.csv,0.61,0.14,0.6,0.23,0.53,0.84,0.24,0.95,0.8,0.59,0.57,0.45,0.19,0.02,0.37,0.85,0.62
gamestone.csv,0.75,0.41,0.18,0.14,0.44,0.8,0.21,0.95,1.0,0.52,0.42,0.5,0.05,0.09,0.6,0.87,0.5
iaml.csv,0.75,0.25,0.4,0.05,0.6,0.83,0.15,0.97,0.62,0.52,0.78,0.8,0.15,0.08,0.57,0.54,0.6
jbasic.csv,0.58,0.1,0.33,0.11,0.6,0.69,0.19,0.95,0.72,0.67,0.48,0.47,0.12,0.03,0.52,0.67,0.61
modplug.csv,0.56,0.11,0.3,0.14,0.52,0.78,0.12,0.96,0.74,0.46,0.55,0.38,0.15,0.03,0.36,0.9,0.64
pdfedit.csv,0.58,0.33,0.29,0.11,0.71,0.7,0.23,0.95,0.91,0.5,0.51,0.4,0.07,0.05,0.62,0.82,0.62
redshell.csv,0.51,0.13,0.27,0.12,0.5,0.69,0.06,0.98,0.0,0.6,0.59,0.35,0.1,0.02,0.36,0.63,0.63
sabbu.csv,0.79,0.11,0.44,0.12,0.61,0.82,0.36,0.97,0.95,0.52,0.6,0.56,0.06,0.08,0.41,0.57,0.63
silvertree.csv,0.73,0.15,0.29,0.13,0.49,0.78,0.1,0.96,0.86,0.48,0.61,0.73,0.12,0.04,0.42,0.69,0.62
t-2.csv,0.51,0.08,0.28,0.1,0.47,0.76,0.13,0.95,0.71,0.5,0.65,0.44,0.34,0.01,0.22,0.63,0.52
xinity.csv,0.51,0.03,0.32,0.11,0.57,0.69,0.07,0.95,0.66,0.54,0.7,0.32,0.13,0.02,0.4,0.54,0.78
xreal.csv,0.6,0.17,0.19,0.09,0.52,0.7,0.05,0.98,0.62,0.45,0.5,0.44,0.04,0.71,0.53,0.41,0.52
zabbix.csv,0.73,0.0,0.35,0.08,0.67,0.76,0.22,0.97,0.86,0.53,0.41,0.5,0.06,0.06,0.59,0.75,0.62
zengine.csv,0.6,0.14,0.28,0.12,0.5,0.75,0.12,0.96,0.97,0.49,0.52,0.42,0.12,0.03,0.43,0.68,0.61
