,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.92,0.64,0.89,0.95,0.6,0.94,0.68,0.49,0.0,0.88,0.74,0.38,0.73,0.54,0.44,0.42,0.57
beast-mcmc.csv,0.5,0.47,0.5,0.54,0.36,0.39,0.55,0.47,0.5,0.4,0.55,0.4,0.51,0.41,0.35,0.37,0.3
bscwweasel.csv,0.0,0.55,0.97,0.68,0.61,0.5,0.53,0.8,0.8,0.81,0.48,0.89,0.58,0.96,0.5,0.94,0.33
codeblocks.csv,0.5,0.57,0.81,0.56,0.42,0.42,0.43,0.53,0.9,0.52,0.84,0.41,0.47,0.4,0.36,0.37,0.35
gamestone.csv,0.75,0.41,0.61,0.68,0.68,0.9,0.82,0.78,0.5,0.59,0.47,0.75,0.83,0.73,0.9,0.52,0.5
iaml.csv,0.88,0.67,0.54,0.95,0.72,0.96,0.68,0.61,0.62,0.51,0.57,0.9,0.61,0.9,0.93,0.54,0.29
jbasic.csv,0.46,0.7,0.4,0.57,0.4,0.94,0.58,0.48,0.45,0.51,0.51,0.37,0.45,0.37,0.5,0.5,0.31
modplug.csv,0.43,0.51,0.36,0.47,0.35,0.43,0.35,0.5,0.43,0.45,0.4,0.4,0.43,0.36,0.36,0.42,0.3
pdfedit.csv,0.51,0.89,0.6,0.96,0.48,0.76,0.98,0.62,0.73,0.49,0.66,0.45,0.78,0.55,0.62,0.53,0.5
redshell.csv,0.52,0.58,0.51,0.59,0.57,0.51,0.49,0.57,0.5,0.74,0.58,0.47,0.54,0.66,0.39,0.5,0.47
sabbu.csv,0.43,0.89,0.54,0.77,0.46,0.54,0.98,0.52,0.57,0.5,0.7,0.44,0.64,0.67,0.4,0.67,0.35
silvertree.csv,0.46,0.43,0.39,0.46,0.41,0.44,0.41,0.45,0.38,0.43,0.45,0.58,0.46,0.41,0.42,0.38,0.32
t-2.csv,0.49,0.54,0.47,0.6,0.44,0.44,0.5,0.58,0.47,0.97,0.69,0.42,0.8,0.55,0.43,0.44,0.76
xinity.csv,0.49,0.8,0.4,0.71,0.76,0.64,0.48,0.68,0.66,0.49,0.66,0.65,0.45,0.71,0.47,0.77,0.37
xreal.csv,0.9,0.92,0.66,0.97,0.87,0.96,0.94,0.98,0.62,0.59,0.84,0.89,0.99,0.86,0.94,0.74,0.7
zabbix.csv,0.68,0.83,0.6,0.79,0.46,0.63,0.97,0.5,0.62,0.5,0.66,0.43,0.66,0.6,0.69,0.56,0.38
zengine.csv,0.39,0.45,0.33,0.45,0.35,0.41,0.36,0.45,0.39,0.43,0.44,0.38,0.44,0.36,0.37,0.37,0.28
