,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.62,0.23,0.56,0.36,0.7,0.3,0.28,0.24,0.38,0.59,0.23
gamestone.csv,0.02,0.21,0.17,0.39,0.21,0.04,0.0,0.26,0.2,0.13,0.05
gbif-providertoolkit.csv,0.68,0.62,0.32,0.35,0.31,0.57,0.86,0.31,0.35,0.55,0.7
heekscad.csv,0.3,0.25,0.21,0.36,0.54,0.22,0.43,0.44,0.5,0.54,0.36
igarden.csv,0.15,0.08,0.11,0.42,0.31,0.17,0.27,0.16,0.44,0.05,0.22
levent.csv,0.09,0.0,0.0,0.0,0.75,0.3,0.39,0.0,0.0,0.0,0.56
lportal.csv,0.19,0.04,0.14,0.01,0.0,0.09,0.0,0.28,0.18,0.01,0.05
natpad.csv,0.38,0.31,0.65,0.42,0.46,0.43,0.46,0.37,0.48,0.64,0.38
openmsx.csv,0.45,0.71,0.39,0.79,0.22,0.13,0.23,0.24,0.0,0.33,0.03
owlapi.csv,0.72,0.38,0.46,0.39,0.76,0.7,0.99,0.24,0.25,0.79,0.5
xcsoar.csv,0.26,0.13,0.28,0.46,0.31,0.43,0.31,0.37,0.51,0.46,0.5
