,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.65,0.08,0.52,0.32,0.2,0.76,0.53,0.32,0.08,0.39,0.59
gamestone.csv,0.86,0.39,0.37,0.32,0.18,0.5,0.0,0.06,0.01,0.43,0.0
gbif-providertoolkit.csv,0.62,0.0,0.47,0.39,0.3,0.76,0.33,0.27,0.09,0.42,0.44
heekscad.csv,0.81,0.28,0.69,0.41,0.22,0.81,0.46,0.21,0.06,0.41,0.57
igarden.csv,0.85,0.33,0.7,0.41,0.25,0.83,0.39,0.22,0.06,0.58,0.6
levent.csv,0.86,1.0,0.0,0.0,0.19,0.83,0.45,0.0,0.0,0.0,0.51
lportal.csv,0.68,0.0,0.55,0.0,1.0,0.71,1.0,0.24,0.15,0.5,0.75
natpad.csv,0.74,0.11,0.48,0.32,0.18,0.76,0.4,0.28,0.07,0.38,0.58
openmsx.csv,0.73,0.16,0.42,0.32,0.17,0.86,0.06,0.21,0.0,0.54,0.33
owlapi.csv,0.53,0.0,0.46,0.28,0.18,0.69,0.34,0.39,0.04,0.38,0.41
xcsoar.csv,0.82,0.22,0.66,0.37,0.3,0.77,0.44,0.22,0.07,0.42,0.51
