,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.62,0.47,0.24,0.24,0.26,0.42,0.65,0.28,0.02,0.45,0.32,0.36,0.64,0.64,0.62,0.48
amygdala.csv,0.66,0.05,0.29,0.25,0.29,0.47,0.57,0.26,0.0,0.37,0.22,0.68,0.28,0.64,0.47,0.53
awemud.csv,0.74,0.8,0.25,0.21,0.78,0.58,0.55,0.22,0.01,0.0,0.27,0.62,0.56,0.71,0.55,0.57
bullet.csv,0.77,0.69,0.25,0.63,0.54,0.82,0.51,0.24,0.02,0.0,0.16,0.71,0.34,0.2,0.5,0.71
customwars.csv,0.68,0.44,0.21,0.69,0.37,0.6,0.42,0.18,0.02,0.0,0.29,0.37,0.63,0.43,0.65,0.71
dvd-create.csv,0.65,0.75,0.31,0.26,0.85,0.78,0.51,0.35,0.01,0.0,0.27,0.68,0.4,0.67,0.67,0.73
gbif-indexingtoolkit.csv,0.81,0.62,0.26,0.38,0.85,0.5,0.37,0.39,0.0,0.0,0.24,0.55,0.47,0.4,0.48,0.59
go.csv,0.76,0.8,0.44,0.26,0.64,0.75,0.63,0.27,0.01,0.15,0.28,0.71,0.57,0.69,0.68,0.7
gss.csv,0.77,0.74,0.34,0.67,0.74,0.82,0.59,0.32,0.01,0.0,0.27,0.63,0.58,0.71,0.75,0.79
kwave.csv,0.78,0.77,0.51,0.37,0.89,0.69,0.57,0.28,0.01,0.0,0.26,0.6,0.48,0.68,0.78,0.69
lsb.csv,0.65,0.51,0.26,0.62,0.85,0.52,0.28,0.4,0.0,0.12,0.25,0.52,0.56,0.4,0.38,0.63
mpgravity.csv,0.86,0.73,0.3,0.32,0.84,0.76,0.51,0.32,0.0,0.57,0.26,0.69,0.0,0.79,0.75,0.75
qcad2.csv,0.57,0.51,0.41,0.31,0.4,0.56,0.63,0.28,0.01,0.5,0.18,0.37,0.6,0.54,0.71,0.75
qtwin.csv,0.14,0.0,0.0,0.0,0.0,0.08,0.15,0.26,0.05,0.21,0.19,0.14,0.21,0.53,0.43,0.28
roller.csv,0.82,0.77,0.35,0.36,0.88,0.77,0.51,0.31,0.0,0.48,0.29,0.67,0.45,0.77,0.65,0.74
xinity.csv,0.5,0.72,0.4,0.22,0.74,0.5,0.35,0.32,0.0,0.38,0.26,0.45,0.44,0.52,0.8,0.71
