,wpdev.csv,mb-unit.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,unicase.csv,mecat.csv
gwanted.csv,0.37,0.57,0.7,0.93,0.05,0.54,0.67
java-gnome.csv,0.78,0.37,0.59,0.36,1.0,0.37,0.67
mb-unit.csv,0.65,0.99,0.75,0.68,0.39,0.6,0.67
mecat.csv,0.01,0.0,0.0,0.0,0.0,0.03,1.0
rodin-b-sharp.csv,0.46,0.32,0.99,0.21,0.82,0.43,0.33
unicase.csv,0.68,0.75,0.82,0.61,0.44,1.0,1.0
wpdev.csv,1.0,1.0,1.0,0.96,1.0,1.0,1.0
