,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.67,0.29,0.4,0.0,0.27,0.49,0.54,0.63,0.25,0.5,0.76,0.42
blue-c.csv,0.7,0.92,0.61,0.0,0.83,0.94,0.76,0.8,1.0,0.74,0.95,0.81
cities3d.csv,0.77,0.35,0.04,0.69,0.19,0.0,0.7,0.57,0.5,0.05,0.29,0.0
dynalloy.csv,0.63,0.77,0.41,0.0,0.79,0.77,0.86,0.43,0.88,0.69,0.81,0.5
firebird.csv,0.67,0.46,0.56,0.12,0.59,0.91,0.89,0.4,0.69,0.52,1.0,0.53
hydrogen.csv,1.0,1.0,1.0,1.0,0.98,1.0,0.86,1.0,0.88,0.0,0.19,1.0
nosleepsoftware.csv,0.33,0.0,0.24,0.69,0.06,0.0,0.08,0.03,0.0,0.1,0.0,0.08
openmalaria.csv,0.83,0.62,0.77,0.69,0.51,0.66,0.7,0.73,0.81,0.74,0.9,0.69
popeye-chess.csv,0.63,0.33,0.45,0.19,0.65,0.66,0.08,0.6,0.62,0.52,0.62,0.47
qgo.csv,0.87,0.46,0.88,0.81,0.63,0.8,0.92,0.67,0.81,0.98,0.62,0.89
xmoto.csv,0.2,0.48,0.5,0.38,0.71,0.83,0.54,0.53,0.75,0.62,0.33,0.81
yield.csv,0.8,0.98,0.74,0.62,0.73,0.91,1.0,0.7,0.88,0.81,0.86,0.78
