,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.44,0.33,0.31,0.18,0.19,0.2,0.28,0.2,0.29,0.2
fritzing.csv,0.34,0.28,0.22,0.24,0.36,0.23,0.22,0.18,0.32,0.23
jlinalg.csv,0.3,0.3,0.42,0.31,0.25,0.33,0.34,0.35,0.21,0.4
knowledge.csv,0.28,0.28,0.3,0.34,0.34,0.32,0.14,0.27,0.25,0.35
massiv.csv,0.34,0.23,0.17,0.35,0.42,0.36,0.41,0.2,0.5,0.42
multitude.csv,0.47,0.33,0.35,0.29,0.28,0.27,0.22,0.27,0.45,0.23
playerstage.csv,0.39,0.37,0.34,0.25,0.28,0.22,0.17,0.23,0.21,0.23
quarkplusplus.csv,0.28,0.32,0.37,0.27,0.25,0.26,0.34,0.39,0.23,0.28
rtrt-on-gpu.csv,0.45,0.19,0.37,0.23,0.3,0.25,0.24,0.2,0.29,0.3
superwaba.csv,0.16,0.18,0.26,0.18,0.18,0.2,0.14,0.26,0.12,0.18
