,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.62,0.31,0.63,0.99,0.14,0.75,0.63,0.7,0.47,0.3
chrysalis.csv,0.39,0.0,0.16,0.5,0.0,0.17,0.29,0.23,0.16,0.96
jahshaka.csv,0.48,0.91,0.35,0.77,0.15,0.47,0.61,0.19,0.37,0.13
jam-daq.csv,0.53,0.33,0.48,0.72,0.5,0.62,0.98,0.43,0.36,0.38
jatlas.csv,0.25,0.15,0.3,0.2,1.0,0.05,0.16,0.13,0.04,0.0
jedit.csv,0.98,0.32,0.45,0.81,0.24,0.57,0.56,0.6,0.38,0.44
mscore.csv,0.48,0.41,0.49,0.77,0.25,0.99,0.52,0.43,0.32,0.21
open-media-library.csv,0.44,0.35,0.99,0.39,0.21,0.62,0.43,0.43,0.41,0.27
panda3d.csv,0.35,0.09,0.35,0.08,0.0,0.44,0.15,0.58,0.96,0.14
wheat.csv,0.15,0.31,0.41,0.1,0.22,0.43,0.16,0.98,0.37,0.05
