,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.97,1.0,1.0,0.01,1.0,1.0,0.98,1.0,1.0,0.94
chrysalis.csv,0.75,1.0,0.91,0.66,1.04,0.91,0.82,0.87,0.9,0.07
jahshaka.csv,0.65,0.09,0.76,0.38,0.81,0.69,0.5,0.89,0.7,0.93
jam-daq.csv,0.58,0.66,0.65,0.43,0.16,0.52,0.03,0.71,0.71,0.67
jatlas.csv,0.86,0.91,0.81,0.89,0.0,0.98,0.91,0.93,0.98,1.0
jedit.csv,0.04,0.61,0.7,0.32,0.45,0.6,0.6,0.68,0.68,0.43
mscore.csv,0.65,0.49,0.64,0.76,0.42,0.02,0.6,0.71,0.74,0.76
open-media-library.csv,0.7,0.66,0.03,1.0,0.63,0.54,0.73,0.72,0.65,0.82
panda3d.csv,0.82,0.94,0.76,0.96,1.13,0.95,0.91,0.6,0.06,0.87
wheat.csv,0.92,0.64,0.73,0.95,0.63,0.74,0.93,0.04,0.7,0.97
