,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.13,0.0,0.0,0.99,0.0,0.0,0.09,0.0,0.0,0.24
chrysalis.csv,0.29,0.0,0.12,0.39,0.0,0.12,0.21,0.17,0.12,0.94
jahshaka.csv,0.41,0.92,0.32,0.67,0.24,0.36,0.62,0.13,0.39,0.09
jam-daq.csv,0.5,0.41,0.46,0.62,0.96,0.56,0.98,0.36,0.43,0.38
jatlas.csv,0.23,0.11,0.24,0.13,1.0,0.02,0.11,0.09,0.02,0.0
jedit.csv,0.97,0.56,0.45,0.73,0.75,0.5,0.59,0.58,0.39,0.68
mscore.csv,0.49,0.65,0.48,0.54,0.76,0.98,0.52,0.36,0.37,0.36
open-media-library.csv,0.46,0.41,0.98,0.26,0.45,0.55,0.44,0.4,0.47,0.23
panda3d.csv,0.36,0.11,0.32,0.05,0.0,0.37,0.11,0.55,0.95,0.22
wheat.csv,0.12,0.48,0.39,0.06,0.45,0.37,0.13,0.97,0.43,0.05
