,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.91,0.78,0.56,0.67
jajuk.csv,0.76,0.87,0.72,0.79
vapor.csv,0.8,0.96,0.56,0.32
zorannt.csv,0.56,0.65,0.4,0.76
