,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.44,0.6,0.27,0.38,0.31,0.41,0.89,0.37,0.37,0.37
electric-core.csv,0.51,0.62,0.26,0.52,0.37,0.55,0.52,0.4,0.45,0.57
jahshakafx.csv,0.33,0.54,0.26,0.36,0.3,0.33,0.57,0.35,0.38,0.33
jython.csv,0.57,0.82,0.98,0.64,0.68,0.92,0.63,0.43,0.45,0.48
kftpgrabber.csv,0.41,0.85,0.9,0.42,0.55,0.57,0.75,0.69,0.43,0.43
mvnforum.csv,0.92,0.99,0.96,0.75,0.68,0.7,0.96,0.88,0.86,0.94
openmalaria.csv,0.35,0.52,0.92,0.38,0.29,0.36,0.41,0.31,0.37,0.32
plplot.csv,0.5,0.39,0.25,0.51,0.32,0.59,0.42,0.31,0.43,0.38
popeye-chess.csv,0.51,0.76,0.91,0.42,0.56,0.55,0.5,0.48,0.45,0.52
zxing.csv,0.42,0.78,0.95,0.5,0.4,0.73,0.62,0.89,0.38,0.41
