,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.57,0.41,0.2,0.69,0.47,0.47,0.27,0.76,0.62,0.87
electric-core.csv,0.44,0.49,0.22,0.75,0.47,0.51,0.55,0.56,0.62,0.49
jahshakafx.csv,0.69,0.47,0.22,0.6,0.42,0.51,0.49,0.63,0.6,0.76
jython.csv,0.4,0.43,0.58,0.65,0.27,0.27,0.47,0.58,0.48,0.76
kftpgrabber.csv,0.6,0.45,0.56,0.62,0.21,0.4,0.13,0.29,0.69,0.7
mvnforum.csv,0.11,0.13,0.46,0.4,0.5,0.33,0.2,0.38,0.24,0.31
openmalaria.csv,0.65,0.44,0.59,0.68,0.43,0.48,0.75,0.81,0.56,0.83
plplot.csv,0.47,0.33,0.2,0.71,0.46,0.6,0.63,0.76,0.48,0.81
popeye-chess.csv,0.53,0.46,0.42,0.66,0.22,0.44,0.62,0.58,0.62,0.62
zxing.csv,0.6,0.49,0.59,0.53,0.53,0.37,0.48,0.18,0.6,0.82
