,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.61,0.5,0.77,0.6,0.94,0.62,0.17,0.75,0.87,0.96
electric-core.csv,0.75,0.6,0.95,0.89,0.78,0.52,0.62,0.47,0.83,0.34
jahshakafx.csv,0.84,0.57,0.77,0.49,0.72,0.62,0.38,0.58,0.67,0.7
jython.csv,0.7,0.5,0.86,0.66,0.28,0.29,0.52,0.58,0.93,0.68
kftpgrabber.csv,0.69,0.4,0.41,0.54,0.22,0.33,0.07,0.19,0.83,0.57
mvnforum.csv,0.15,0.15,0.5,0.54,0.56,0.62,0.17,0.28,0.3,0.2
openmalaria.csv,0.92,0.59,0.82,0.57,0.83,0.62,0.74,0.94,0.77,0.86
plplot.csv,0.93,0.87,0.82,0.83,0.94,0.62,0.95,0.92,0.9,0.79
popeye-chess.csv,0.78,0.49,0.32,0.69,0.28,0.43,0.62,0.47,0.63,0.48
zxing.csv,0.63,0.46,0.55,0.37,0.78,0.29,0.36,0.11,0.7,0.75
