,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.64,0.53,0.31,0.64,0.48,0.62,0.2,0.71,0.78,0.51
electric-core.csv,0.56,0.63,0.09,0.82,0.65,0.56,0.59,0.49,0.76,0.39
jahshakafx.csv,0.82,0.6,0.49,0.54,0.56,0.63,0.43,0.55,0.68,0.67
jython.csv,0.48,0.54,0.86,0.67,0.32,0.33,0.49,0.38,0.24,0.67
kftpgrabber.csv,0.7,0.45,0.46,0.58,0.25,0.38,0.09,0.22,0.81,0.61
mvnforum.csv,0.17,0.18,0.55,0.27,0.59,0.46,0.2,0.32,0.32,0.23
openmalaria.csv,0.83,0.61,0.83,0.62,0.45,0.63,0.75,0.62,0.71,0.67
plplot.csv,0.35,0.34,0.26,0.77,0.37,0.65,0.44,0.21,0.35,0.72
popeye-chess.csv,0.7,0.53,0.37,0.69,0.31,0.47,0.63,0.5,0.66,0.52
zxing.csv,0.66,0.51,0.6,0.42,0.71,0.34,0.41,0.13,0.7,0.75
