,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.45,0.56,0.94,0.42,0.84,0.53,0.83,0.49,0.47,0.82
electric-core.csv,0.76,0.46,0.98,0.4,0.65,0.51,0.64,0.68,0.45,0.67
jahshakafx.csv,0.31,0.49,0.84,0.53,0.76,0.48,0.63,0.67,0.43,0.51
jython.csv,0.85,0.55,0.21,0.45,0.79,0.78,0.76,0.94,0.94,0.48
kftpgrabber.csv,0.41,0.6,0.59,0.48,0.86,0.68,0.93,0.87,0.32,0.46
mvnforum.csv,1.08,0.9,0.51,1.02,0.52,0.86,0.92,0.79,0.9,0.86
openmalaria.csv,0.41,0.51,0.23,0.44,0.86,0.52,0.33,0.74,0.52,0.66
plplot.csv,0.91,0.91,0.95,0.44,0.89,0.41,0.86,0.95,0.91,0.52
popeye-chess.csv,0.55,0.54,0.68,0.45,0.88,0.6,0.49,0.62,0.41,0.57
zxing.csv,0.43,0.55,0.46,0.63,0.53,0.72,0.65,0.93,0.43,0.34
