,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.57,0.93,0.74,0.56,0.55,0.58,0.55,0.14,0.59,0.55,0.51,0.32
gdis.csv,0.68,0.59,0.58,0.56,0.57,0.71,0.41,0.43,1.0,0.5,0.43,0.5
kml.csv,0.72,0.59,0.69,0.62,0.98,0.4,0.55,0.73,0.67,0.62,0.68,0.65
ppcboot.csv,0.69,0.64,0.68,0.98,0.48,0.37,0.58,0.59,0.46,0.82,0.44,0.56
repositorium.csv,0.39,0.51,0.46,0.46,0.4,0.85,0.3,0.4,0.57,0.35,0.45,0.5
rsyslog.csv,0.97,0.68,0.68,0.52,0.41,0.67,0.64,0.54,0.55,0.75,0.41,0.42
simplewebservices.csv,0.54,0.52,0.39,0.6,0.8,0.56,0.25,0.29,0.65,0.0,0.39,0.99
ultimairis.csv,0.4,0.29,0.61,0.26,0.26,0.67,0.98,0.2,0.19,0.54,0.55,0.36
wow-qrsk.csv,0.58,0.57,0.98,0.62,0.29,0.0,0.18,0.14,0.44,0.89,0.17,0.27
wxstudio.csv,0.29,0.36,0.39,0.36,0.49,0.21,0.53,0.14,0.52,0.67,0.97,0.16
xbg.csv,0.21,0.02,0.12,0.31,0.22,0.21,0.16,0.67,0.11,0.93,0.28,0.18
xqilla.csv,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
