,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.58,0.95,0.45,0.63,0.54,0.29,0.41,0.11,0.7,0.05,0.52,0.33
gdis.csv,0.69,0.45,0.33,0.68,0.65,0.27,0.42,0.2,1.0,0.04,0.51,0.59
kml.csv,0.73,0.44,0.43,0.63,0.99,0.24,0.48,0.35,0.8,0.06,0.64,0.61
ppcboot.csv,0.69,0.46,0.38,0.98,0.54,0.12,0.48,0.24,0.6,0.09,0.41,0.52
repositorium.csv,0.45,0.36,0.24,0.48,0.39,0.9,0.32,0.15,0.77,0.03,0.43,0.53
rsyslog.csv,0.98,0.5,0.43,0.56,0.49,0.45,0.49,0.38,0.67,0.08,0.41,0.59
simplewebservices.csv,0.62,0.42,0.21,0.61,0.75,0.23,0.28,0.22,0.82,0.0,0.36,0.99
ultimairis.csv,0.46,0.38,0.33,0.31,0.31,0.39,0.99,0.21,0.25,0.06,0.51,0.44
wow-qrsk.csv,0.63,0.4,0.98,0.63,0.33,0.0,0.25,0.08,0.6,0.12,0.19,0.33
wxstudio.csv,0.3,0.32,0.2,0.4,0.5,0.09,0.42,0.08,0.63,0.09,0.96,0.2
xbg.csv,0.22,0.04,0.11,0.36,0.26,0.13,0.2,0.77,0.16,0.16,0.31,0.22
xqilla.csv,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
