,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.46,0.01,0.4,0.73,0.54,0.29,0.58,0.18,0.46,0.68,0.76,0.3
gdis.csv,0.58,0.73,0.71,0.77,0.77,0.62,0.86,0.84,0.0,0.75,0.84,0.82
kml.csv,0.58,0.44,0.37,0.53,0.0,0.21,0.32,0.36,0.54,0.52,0.37,0.37
ppcboot.csv,0.5,0.64,0.5,0.02,0.18,0.58,0.37,0.51,0.62,0.52,0.53,0.69
repositorium.csv,0.21,0.63,0.57,0.64,0.54,0.0,0.15,0.51,0.69,0.55,0.45,0.79
rsyslog.csv,0.0,0.44,0.37,0.29,0.1,0.15,0.59,0.16,0.38,0.62,0.37,0.87
simplewebservices.csv,0.75,0.35,0.54,0.54,0.44,0.41,0.14,0.15,0.62,0.19,0.55,0.01
ultimairis.csv,0.17,0.92,0.64,0.21,0.18,0.21,0.0,0.95,0.46,0.81,0.57,0.87
wow-qrsk.csv,0.71,0.53,0.0,0.58,0.26,0.03,0.03,0.29,0.69,0.39,0.24,0.13
wxstudio.csv,0.58,0.28,0.57,0.29,0.38,0.37,0.45,0.31,0.31,0.34,0.04,0.14
xbg.csv,0.62,0.05,0.17,0.26,0.26,0.2,0.08,0.0,0.15,0.27,0.27,0.16
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
