,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv,skia.csv,tencompetence.csv
bulmages.csv,0.33,0.0,0.64,0.69,0.32,0.71,1.0,0.09,0.44,0.0,0.13,0.28,1.0,0.5,0.52,0.0,0.43,0.53
codeblocks.csv,0.51,0.83,0.61,0.71,0.25,0.52,0.87,0.14,0.41,0.11,0.07,0.31,0.99,0.52,0.66,0.24,0.37,0.52
grisbi.csv,0.54,0.74,0.53,0.56,0.2,0.49,0.95,0.08,0.3,0.12,0.06,0.35,0.96,0.53,0.53,0.22,0.38,0.71
libmesh.csv,0.53,0.71,0.57,0.62,0.18,0.07,0.73,0.19,0.53,0.11,0.05,0.26,0.93,0.6,0.47,0.14,0.19,0.57
mesa3d.csv,0.54,0.79,0.63,0.71,0.33,0.56,1.0,0.14,0.32,0.09,0.08,0.32,0.98,0.47,0.62,0.35,0.42,0.53
panda3d.csv,0.5,0.78,0.56,0.57,0.1,0.53,1.0,0.0,0.4,0.26,0.05,0.43,0.89,0.62,0.56,0.24,0.41,0.51
proftp.csv,0.6,0.83,0.54,0.67,0.31,0.68,0.95,0.13,0.24,0.0,0.05,0.35,0.94,0.55,0.75,0.67,0.4,0.31
qmmp.csv,0.59,0.86,0.51,0.57,0.22,0.37,0.86,0.11,0.35,0.11,0.06,0.37,0.96,0.48,0.76,0.18,0.31,0.51
red5.csv,0.49,0.75,0.61,0.78,0.18,0.48,0.74,0.16,0.48,0.11,0.05,0.28,0.97,0.51,0.56,0.21,0.34,0.55
skia.csv,0.5,0.85,0.65,0.6,0.29,0.68,1.0,0.13,0.21,0.14,0.06,0.43,1.0,0.57,0.47,0.5,0.46,0.69
soar.csv,0.57,0.71,0.47,0.53,0.2,0.42,0.73,0.05,0.32,0.13,0.04,0.31,0.92,0.74,0.44,0.19,0.3,0.68
super-tux.csv,0.44,0.76,0.59,0.68,0.21,0.5,0.76,0.18,0.43,0.11,0.07,0.32,1.0,0.43,0.56,0.21,0.34,0.58
t-2.csv,0.49,0.76,0.68,0.69,0.23,0.25,0.82,0.32,0.59,0.11,0.07,0.21,0.97,0.53,0.55,0.16,0.26,0.52
tart.csv,0.74,0.7,0.53,0.58,0.32,0.49,0.83,0.1,0.38,0.1,0.2,0.36,0.95,0.43,0.49,0.22,0.33,0.53
tcvp.csv,0.5,0.79,0.0,1.0,0.0,0.0,1.0,0.4,0.0,0.29,0.0,0.0,1.0,0.0,0.0,0.0,0.08,0.0
tencompetence.csv,0.62,0.67,0.56,0.47,0.18,0.17,0.8,0.07,0.38,0.0,0.0,0.31,0.94,0.64,0.46,0.21,0.3,0.86
utgb.csv,0.43,0.8,0.7,0.6,0.27,0.59,0.97,0.1,0.19,0.11,0.1,0.44,1.0,0.55,0.53,0.26,0.35,0.58
xbrlapi.csv,0.63,0.9,0.49,0.57,0.31,0.76,0.98,0.12,0.3,0.0,0.11,0.38,0.75,0.55,0.73,0.0,0.38,0.61
