,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.38,0.44,0.61,0.55,0.46,0.41,0.92,0.5,0.44,0.53,0.8,0.43,0.61,0.42,0.54,0.57,0.41,0.88,0.41,0.59
badtrinity-zero.csv,0.99,0.0,0.5,0.43,0.58,0.0,0.41,0.48,0.39,0.37,0.43,0.49,0.92,0.0,0.68,0.38,0.38,0.0,0.71,0.41
boost.csv,0.76,0.54,0.41,0.59,0.43,0.47,0.56,0.48,0.37,0.45,0.73,0.55,0.5,0.42,0.35,0.41,0.41,0.46,0.33,0.52
critterding.csv,0.54,0.57,0.4,0.53,0.46,0.55,0.36,0.52,0.42,0.48,0.47,0.6,0.53,0.44,0.39,0.5,0.43,0.41,0.33,0.46
enzo.csv,0.37,0.44,0.42,0.42,0.37,0.41,0.37,0.37,0.35,0.36,0.38,0.43,0.38,0.36,0.39,0.38,0.41,0.34,0.29,0.41
etics.csv,0.82,0.59,0.5,0.69,0.45,0.51,0.92,0.65,0.35,0.43,0.68,0.74,0.63,0.46,0.5,0.48,0.47,0.57,0.52,0.92
fmri-dmt.csv,0.57,0.66,0.49,0.61,0.63,0.44,0.8,0.64,0.89,0.98,0.7,0.53,0.55,0.62,0.84,0.56,0.7,0.52,0.79,0.66
genecys.csv,0.48,0.48,0.45,0.52,0.46,0.6,0.41,0.53,0.48,0.4,0.45,0.52,0.54,0.42,0.56,0.39,0.55,0.46,0.32,0.61
gusanos.csv,0.99,0.44,0.46,0.44,0.47,0.39,0.57,0.47,0.39,0.39,0.88,0.46,0.7,0.41,0.57,0.47,0.33,0.5,0.38,0.44
kftpgrabber.csv,0.9,0.52,0.83,0.66,0.59,0.41,0.8,0.65,0.0,0.45,0.94,0.47,0.68,0.37,0.49,0.55,0.4,0.92,0.45,0.62
kvs.csv,0.51,0.44,0.56,0.58,0.95,0.59,0.59,0.64,0.67,0.62,0.65,0.52,0.79,0.49,0.5,0.52,0.93,0.4,0.31,0.67
mcore3d.csv,0.97,0.47,0.75,0.58,0.42,0.44,0.42,0.49,0.41,0.44,0.67,0.97,0.48,0.52,0.37,0.52,0.42,0.86,0.34,0.48
modplug.csv,0.4,0.48,0.4,0.45,0.41,0.43,0.34,0.49,0.44,0.34,0.44,0.43,0.4,0.4,0.4,0.43,0.43,0.44,0.35,0.44
monetdb.csv,0.5,0.65,0.5,0.53,0.44,0.95,0.83,0.97,0.46,0.44,0.87,0.64,0.56,0.76,0.55,0.48,0.49,0.9,0.75,0.6
ogrehg.csv,0.81,0.67,0.55,0.52,0.46,0.43,0.74,0.51,0.42,0.37,0.6,0.49,0.49,0.54,0.42,0.4,0.41,0.47,0.44,0.55
passwordsafe.csv,0.68,0.67,0.42,0.51,0.46,0.57,0.49,0.52,0.41,0.43,0.55,0.51,0.6,0.5,0.45,0.49,0.43,0.7,0.39,0.6
projecteqemu.csv,0.48,0.7,0.48,0.67,0.56,0.42,0.83,0.62,0.34,0.45,0.96,0.59,0.65,0.56,0.45,0.45,0.47,0.4,0.41,0.68
quarkplayer.csv,0.89,0.83,0.56,0.9,0.97,0.79,0.61,0.99,0.5,0.95,0.95,0.72,0.93,0.89,0.72,0.91,0.91,0.71,0.61,0.97
reactos-mirror.csv,0.56,0.55,0.39,0.51,0.44,0.51,0.51,0.47,0.37,0.38,0.58,0.52,0.49,0.47,0.4,0.45,0.43,0.41,0.31,0.52
xbplayer.csv,0.54,0.54,0.6,0.45,0.53,0.49,0.88,0.49,0.39,0.6,0.4,0.44,0.49,0.45,0.35,0.4,0.36,0.9,0.48,0.61
