,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.71,0.59,0.47,1.01,0.63,0.97,0.55,0.27,1.0,1.16,0.92,1.05
ivatamasks.csv,0.93,0.29,0.99,0.46,0.98,0.59,0.73,1.0,1.0,0.96,0.9,1.0
orc.csv,0.96,0.57,0.3,0.63,0.94,0.76,0.43,0.99,1.0,0.34,0.69,1.15
plato.csv,0.96,1.0,1.0,0.82,0.95,0.28,1.0,0.77,1.0,0.88,0.98,1.0
proftp.csv,1.0,0.79,0.59,0.89,0.96,0.86,0.32,0.56,1.0,1.02,0.62,1.0
tycho.csv,1.0,0.68,0.66,0.68,0.7,0.77,0.76,0.8,0.31,0.52,0.89,1.03
uclmda.csv,1.0,0.99,0.98,1.0,0.77,0.94,0.9,0.99,0.74,1.0,0.97,0.01
umber.csv,0.16,1.01,0.92,0.6,0.89,1.0,0.79,0.93,0.95,0.7,0.62,0.83
unicase.csv,0.28,0.12,0.84,0.85,0.72,0.76,0.89,0.51,0.8,0.78,0.45,1.18
vienna-add-in.csv,0.59,1.07,0.97,0.86,0.44,0.77,1.01,0.9,0.63,1.1,0.85,0.58
wpdev.csv,0.98,0.01,0.99,1.0,0.98,1.0,1.0,0.92,0.96,0.97,0.99,1.0
