,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.47,0.81,0.29,0.75,0.57,0.66,0.66,0.87,0.0,0.0,0.8,0.01
ivatamasks.csv,0.41,0.83,0.13,0.74,0.79,0.68,0.57,0.83,0.71,0.02,0.77,0.98
orc.csv,0.07,0.61,0.42,0.55,0.14,0.68,0.73,0.02,0.0,0.05,0.48,0.11
plato.csv,0.42,0.99,0.15,0.78,0.77,0.91,0.62,0.8,0.71,0.02,0.84,0.98
proftp.csv,0.0,0.35,0.29,0.43,0.07,0.53,0.75,0.61,0.0,0.0,0.59,0.0
tycho.csv,0.09,0.7,0.24,0.63,0.47,0.38,0.36,0.34,0.79,0.03,0.72,0.18
uclmda.csv,0.0,0.01,0.04,0.0,0.43,0.17,0.19,0.02,0.51,0.0,0.07,1.0
umber.csv,0.86,0.93,0.19,0.79,0.56,0.9,0.63,0.8,0.22,0.02,0.55,0.98
unicase.csv,0.67,0.94,0.2,0.73,0.53,0.88,0.63,0.69,0.54,0.02,0.81,0.05
vienna-add-in.csv,0.45,0.77,0.1,0.71,0.77,0.66,0.0,0.68,0.68,0.0,0.48,0.69
wpdev.csv,0.41,1.0,0.19,0.81,0.78,0.91,0.62,0.81,0.72,0.02,0.84,0.95
