,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.71,0.5,0.35,1.0,0.32,0.88,0.51,0.21,0.0,0.59,0.91,0.33
ivatamasks.csv,0.93,0.0,0.91,0.34,0.98,0.38,0.68,1.0,1.0,0.96,0.88,1.0
orc.csv,0.13,0.0,0.24,0.28,0.2,0.62,0.41,0.0,0.0,0.34,0.21,0.67
plato.csv,0.96,1.0,0.97,0.81,0.95,0.25,1.0,0.76,1.0,0.88,0.98,1.0
proftp.csv,0.09,0.0,0.18,0.62,0.02,0.62,0.22,0.05,0.0,0.22,0.32,0.0
tycho.csv,0.44,0.5,0.2,0.53,0.22,0.12,0.3,0.13,0.21,0.52,0.85,0.5
uclmda.csv,0.04,0.0,0.27,0.0,0.37,0.25,0.24,0.0,0.54,0.08,0.12,0.0
umber.csv,0.04,1.0,0.91,0.57,0.76,1.0,0.78,0.92,0.46,0.7,0.2,0.83
unicase.csv,0.24,0.0,0.84,0.83,0.46,0.75,0.89,0.29,0.68,0.78,0.4,0.67
vienna-add-in.csv,0.53,1.0,0.79,0.83,0.37,0.62,0.14,0.84,0.57,0.46,0.6,0.33
wpdev.csv,0.98,0.0,0.99,1.0,0.98,1.0,1.0,0.92,0.96,0.97,0.99,1.0
