,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.76,0.84,0.78,1.01,0.7,0.32,0.79,0.94,0.89,0.83,0.61,0.91,0.95,0.87,0.94,0.56,0.97,0.89,1.02,0.5
cme.csv,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.92,0.97,0.96,0.02
free-evolution.csv,0.42,0.97,0.83,0.6,0.56,0.78,0.77,0.73,0.88,0.76,0.5,0.63,0.72,0.83,1.0,0.9,0.78,0.57,0.47,0.77
gtad.csv,0.18,0.67,0.87,0.86,0.57,0.59,0.9,0.93,0.83,0.69,0.62,0.73,0.56,0.92,0.78,0.53,0.66,0.77,0.77,1.02
gusanos.csv,0.38,0.81,0.65,0.84,0.48,0.6,0.87,0.8,0.83,0.97,0.54,0.92,0.81,0.65,0.39,0.63,0.57,0.91,0.78,1.03
kaffeine.csv,0.96,0.79,0.92,0.2,0.59,0.69,0.65,1.01,0.41,0.75,0.6,0.78,0.76,0.78,0.55,0.84,0.85,0.66,0.61,0.79
lcfizvtop.csv,0.76,0.93,0.78,0.43,0.55,0.55,0.79,0.8,0.69,0.68,0.45,0.72,0.78,0.31,1.0,0.62,0.72,0.59,0.52,0.48
m-a-d-n-e-s-s.csv,0.5,0.83,0.99,0.88,0.73,0.56,0.75,1.19,0.67,0.79,0.79,0.77,0.38,0.91,0.94,0.46,0.73,0.91,0.9,0.86
m-m-m.csv,0.48,0.72,0.67,0.67,0.77,0.95,0.31,0.88,0.88,0.81,0.97,0.75,0.59,0.81,0.59,0.86,0.65,0.62,0.51,1.19
mediaportal.csv,1.0,0.85,1.0,0.96,0.73,0.89,0.85,0.87,0.68,0.94,0.59,0.84,0.8,0.91,0.74,0.73,0.53,0.91,0.9,1.03
mvnforum.csv,0.69,0.8,0.64,0.94,0.92,0.86,0.83,0.88,0.76,0.46,0.87,0.71,0.89,0.92,0.88,0.98,0.86,0.89,0.72,1.03
myfaces.csv,0.79,0.7,1.06,0.8,0.58,0.81,0.77,1.07,0.46,0.85,0.32,0.6,0.48,0.7,0.68,0.48,0.58,0.75,0.59,0.52
nh3d.csv,1.0,0.62,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.98,1.0,1.0,0.99,1.0,1.0,1.01,1.0
ogrehg.csv,0.74,0.7,1.0,0.8,0.72,0.99,0.81,0.92,0.65,0.72,0.76,0.44,0.54,0.81,0.54,0.86,0.59,0.69,0.58,0.74
pnotepad.csv,0.73,0.64,0.95,0.45,0.62,0.91,0.71,0.98,0.72,0.77,0.78,0.62,0.52,0.57,0.94,0.91,0.9,0.65,0.06,0.98
pydev.csv,0.55,0.64,0.86,0.78,0.75,0.59,0.89,0.55,0.55,0.72,0.46,0.63,0.4,0.67,0.71,0.41,0.6,0.74,0.65,0.5
sarasvati.csv,0.63,0.75,0.62,0.88,0.33,0.88,0.83,0.99,0.72,0.66,0.52,0.81,0.65,0.66,0.72,0.7,0.55,0.83,0.85,1.06
taokgame.csv,0.6,0.97,1.0,0.9,0.85,0.75,0.94,0.1,0.59,0.8,0.7,0.78,0.84,0.76,0.87,0.69,0.81,0.73,0.83,0.72
tokratan.csv,0.69,0.76,0.99,0.8,0.74,0.67,0.56,1.13,0.45,0.57,0.62,0.56,0.5,0.74,0.67,0.5,0.55,0.76,0.65,0.63
wgs-assembler.csv,0.46,0.58,0.38,0.84,0.65,0.64,0.96,0.48,0.85,0.79,0.7,0.56,0.57,0.62,0.49,0.83,0.6,0.61,0.66,1.04
