,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.84,0.68,0.6,0.05,0.76
kmess.csv,0.67,0.5,0.64,0.68,0.02
minig.csv,0.76,0.44,0.05,0.56,0.74
rezilla.csv,0.11,1.0,0.94,1.0,0.91
webdriver.csv,0.8,0.07,0.62,0.79,0.58
