,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.72,0.57,0.49,0.03,0.73
kmess.csv,0.52,0.33,0.19,0.2,0.02
minig.csv,0.18,0.41,0.01,0.28,0.73
rezilla.csv,0.02,1.0,0.94,1.0,0.89
webdriver.csv,0.12,0.0,0.37,0.13,0.29
