,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.17,0.15,0.12,0.12,0.15,0.16,0.17,0.15,0.19,0.25,0.17,0.18,0.17,0.17,0.19,0.16,0.2,0.13,0.18
amygdala.csv,0.22,0.38,0.18,0.18,0.3,0.16,0.27,0.3,0.31,0.28,0.23,0.26,0.22,0.29,0.22,0.3,0.33,0.39,0.44
awemud.csv,0.21,0.23,0.15,0.23,0.27,0.17,0.19,0.18,0.13,0.38,0.22,0.12,0.19,0.22,0.19,0.16,0.2,0.17,0.2
bullet.csv,0.27,0.26,0.33,0.12,0.21,0.23,0.26,0.26,0.22,0.36,0.29,0.33,0.23,0.25,0.22,0.28,0.33,0.19,0.21
customwars.csv,0.17,0.13,0.12,0.08,0.13,0.16,0.11,0.15,0.11,0.38,0.18,0.11,0.13,0.15,0.21,0.16,0.13,0.13,0.12
dvd-create.csv,0.21,0.32,0.21,0.55,0.27,0.25,0.37,0.25,0.29,0.38,0.3,0.23,0.38,0.25,0.19,0.28,0.35,0.24,0.28
gbif-indexingtoolkit.csv,0.4,0.38,0.36,0.55,0.38,0.32,0.43,0.25,0.46,0.36,0.29,0.37,0.42,0.23,0.22,0.32,0.36,0.41,0.44
go.csv,0.33,0.25,0.22,0.13,0.18,0.23,0.23,0.26,0.2,0.38,0.28,0.32,0.25,0.26,0.24,0.24,0.24,0.37,0.26
growl-for-windows.csv,0.2,0.4,0.12,0.55,0.38,0.38,0.23,0.21,0.47,0.38,0.3,0.26,0.43,0.25,0.16,0.28,0.33,0.31,0.41
gss.csv,0.27,0.23,0.24,0.08,0.17,0.27,0.23,0.26,0.18,0.38,0.29,0.26,0.25,0.29,0.25,0.2,0.24,0.22,0.16
kwave.csv,0.29,0.4,0.24,0.55,0.39,0.24,0.34,0.26,0.32,0.38,0.29,0.3,0.37,0.27,0.27,0.22,0.25,0.22,0.44
libarchive.csv,0.29,0.27,0.21,0.24,0.22,0.25,0.28,0.33,0.26,0.25,0.32,0.23,0.25,0.34,0.28,0.28,0.33,0.41,0.17
linux-ntfs.csv,0.22,0.27,0.25,0.18,0.25,0.25,0.18,0.2,0.37,0.25,0.23,0.25,0.29,0.25,0.24,0.26,0.25,0.24,0.22
lsb.csv,0.2,0.3,0.32,0.18,0.35,0.3,0.18,0.21,0.23,0.38,0.31,0.36,0.12,0.24,0.21,0.32,0.27,0.39,0.29
mpgravity.csv,0.36,0.23,0.26,0.52,0.32,0.27,0.46,0.34,0.47,0.15,0.33,0.4,0.43,0.3,0.27,0.32,0.36,0.41,0.39
qcad2.csv,0.19,0.23,0.12,0.46,0.37,0.18,0.25,0.3,0.23,0.32,0.25,0.22,0.16,0.27,0.24,0.3,0.33,0.37,0.21
qtwin.csv,0.31,0.4,0.39,0.55,0.39,0.33,0.37,0.23,0.14,0.25,0.21,0.34,0.33,0.21,0.21,0.2,0.15,0.39,0.44
roller.csv,0.33,0.33,0.26,0.51,0.36,0.34,0.38,0.26,0.39,0.17,0.25,0.4,0.42,0.21,0.24,0.3,0.36,0.39,0.44
xinity.csv,0.39,0.4,0.38,0.55,0.39,0.35,0.43,0.2,0.46,0.38,0.23,0.36,0.43,0.21,0.25,0.28,0.38,0.37,0.44
