,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.57,0.4,0.29,0.41,0.46,0.38,0.71,0.39,0.91,0.64,0.66,0.49,0.79,0.57,0.45,0.48,0.54,0.2,0.52
amygdala.csv,0.54,0.06,0.22,0.05,0.13,0.26,0.69,0.54,0.36,0.51,0.45,0.66,0.28,0.58,0.36,0.38,0.57,0.44,0.0
awemud.csv,0.64,0.73,0.41,0.44,0.57,0.55,0.68,0.54,0.81,0.0,0.62,0.38,0.73,0.65,0.5,0.47,0.6,0.45,0.62
bullet.csv,0.64,0.61,0.37,0.65,0.57,0.74,0.59,0.39,0.38,0.0,0.46,0.67,0.4,0.17,0.47,0.59,0.15,0.44,0.64
customwars.csv,0.6,0.37,0.29,0.58,0.3,0.41,0.43,0.31,0.83,0.0,0.61,0.28,0.67,0.43,0.52,0.52,0.23,0.35,0.46
dvd-create.csv,0.5,0.63,0.46,0.19,0.79,0.61,0.54,0.64,0.61,0.1,0.41,0.65,0.41,0.61,0.47,0.58,0.54,0.3,0.63
gbif-indexingtoolkit.csv,0.42,0.59,0.5,0.05,0.38,0.32,0.61,0.65,0.18,0.1,0.6,0.54,0.63,0.39,0.38,0.19,0.53,0.51,0.23
go.csv,0.54,0.77,0.6,0.26,0.49,0.62,0.74,0.51,0.77,0.0,0.49,0.62,0.72,0.68,0.56,0.6,0.61,0.84,0.69
growl-for-windows.csv,0.7,0.0,0.29,0.0,0.01,0.0,0.73,0.45,0.0,0.0,0.24,0.73,0.0,0.16,0.35,0.56,0.15,0.71,0.05
gss.csv,0.67,0.66,0.62,0.65,0.62,0.56,0.71,0.48,0.87,0.0,0.39,0.64,0.74,0.46,0.39,0.69,0.61,0.49,0.59
kwave.csv,0.66,0.0,0.63,0.0,0.0,0.6,0.67,0.52,0.78,0.0,0.36,0.55,0.48,0.54,0.4,0.63,0.67,0.45,0.0
libarchive.csv,0.68,0.76,0.44,0.41,0.64,0.61,0.73,0.17,0.76,0.56,0.05,0.74,0.74,0.0,0.3,0.53,0.44,0.51,0.62
linux-ntfs.csv,0.56,0.57,0.52,0.71,0.7,0.65,0.39,0.54,0.2,0.55,0.64,0.56,0.73,0.57,0.49,0.71,0.73,0.37,0.58
lsb.csv,0.65,0.45,0.38,0.82,0.37,0.67,0.51,0.57,0.78,0.0,0.41,0.41,0.6,0.54,0.48,0.35,0.67,0.6,0.62
mpgravity.csv,0.5,0.67,0.48,0.36,0.65,0.6,0.13,0.17,0.0,0.76,0.0,0.24,0.0,0.61,0.4,0.0,0.27,0.24,0.46
qcad2.csv,0.41,0.19,0.23,0.09,0.09,0.39,0.68,0.5,0.91,0.47,0.56,0.36,0.71,0.57,0.64,0.53,0.62,0.49,0.53
qtwin.csv,0.12,0.0,0.0,0.0,0.0,0.05,0.1,0.47,0.98,0.2,0.33,0.1,0.17,0.47,0.36,0.2,0.35,0.04,0.0
roller.csv,0.71,0.73,0.61,0.42,0.47,0.34,0.56,0.53,0.32,0.37,0.61,0.32,0.24,0.7,0.48,0.44,0.26,0.61,0.17
xinity.csv,0.34,0.31,0.48,0.0,0.31,0.38,0.38,0.56,0.19,0.0,0.44,0.4,0.2,0.44,0.68,0.42,0.45,0.65,0.3
