,level2,bell0,self,level1,level0
werx.csv,0.05,0.6,1,0.575,0.675
logicmail.csv,0.29,0.33,1,0,0.25
umber.csv,0,1,1,0,0
smbopensoft.csv,1,0.79,0.9,0.3,1
x4x.csv,0.75,0.625,0.9,0.875,0.675
xharbour.csv,0.725,0.44,0.89,0.82,1
olap-navigator.csv,0.67,0.17,0.83,0.085,0.75
baadengine.csv,0.055,0.87,0.82,0.85,0.71
prelude.csv,0,0,0.775,0,0
paintown.csv,0.29,0.23,0.77,0.07,0.69
awemud.csv,0.685,0.405,0.75,0.195,0.855
sauerbraten.csv,0.5,0.75,0.75,0.875,0.375
net-snmp.csv,0,0.25,0.75,0.325,0
jahshakafx.csv,0.85,0.5,0.72,0.85,0.82
ktc.csv,0.7,0.565,0.71,0.45,0.75
empyrean.csv,0.14,0.43,0.71,0.71,0.57
triplea.csv,0.71,0.33,0.71,0.33,0.33
pokeglobal.csv,0.75,0.5,0.675,0,0.75
gpsmid.csv,0.4,0.225,0.675,0.6,0.4
mob-sen-plat.csv,0.33,0,0.67,0,0.71
qgo.csv,0.33,0.33,0.67,0.33,0.67
selenium.csv,0.33,0.5,0.67,0.33,0.5
adaptagrams.csv,0.585,0.585,0.67,0,0.5
raven-monitoring.csv,0.415,0.33,0.67,0.33,0.415
jaql.csv,0.65,0.56,0.635,0.22,0.69
flylinkdc.csv,0,0.75,0.585,0.585,0.71
jedit.csv,0.33,0.415,0.585,0.33,0.415
reactos-mirror.csv,0.465,0.635,0.58,0.555,0
owlib.csv,0.13,0.45,0.565,0.255,0.825
n2cms.csv,0.55,0.4,0.55,0.1,0.7
neoengine.csv,0.73,0.27,0.55,0.73,0.61
openwbem.csv,0.475,0.675,0.55,0.5,0.57
crisscross.csv,0.75,0.5,0.5,0,1
forester-atv.csv,1,0.75,0.5,0,1
amanda.csv,0.735,0.365,0.5,0.635,1
octave.csv,0,0,0.5,1,0.835
plearn.csv,0.5,0.17,0.5,0,0.83
agilitybook.csv,0.25,0.29,0.5,0.5,0.75
tzod.csv,0,0.33,0.5,0.33,0.67
lazarus-ccr.csv,0.67,1,0.5,0.5,0.67
guineu.csv,0.5,0.5,0.5,0.67,0.5
jmoney.csv,0,0.25,0.5,0,0.5
atunes.csv,1,1,0.5,0,0.5
open-media-library.csv,0.75,0.5,0.5,0.75,0.5
orc.csv,0.5,1,0.5,0.5,0.5
graphmak.csv,1,0.165,0.5,0,0.33
nova.csv,0,1,0.5,1,0
h2database.csv,1,0.735,0.45,1,0.635
qpe.csv,1,0.75,0.415,0.75,0.875
raygina.csv,0.33,0.67,0.415,0.585,0.33
encog-java.csv,0.575,0.625,0.4,0.9,0.4
kmatplot.csv,0.67,0.5,0.33,0.67,0.415
rhex.csv,0,0,0.25,0,1
lamp.csv,1,1,0.25,1,1
xbrlapi.csv,0.25,0.5,0.25,0,0.55
wgs-assembler.csv,0.25,0.5,0.25,0.125,0
vdsf.csv,0,1,0.225,0.36,0
jahshaka.csv,0,1,0,1,1
pclasses.csv,0,0,0,0.5,1
re2c.csv,0,0,0,0,0.5
elmo.csv,0,0,0,0,0
avifile.csv,0,0,0,0,0
owfs.csv,0.5,1,0,0,0
jgameai.csv,0.25,0,0,0,0
nh3d.csv,0,0,0,0,0
