,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.74,0.63,0.96,0.53,0.6,0.61,0.47,0.61,0.89,0.67,0.44,0.87,0.89
avifile.csv,0.94,0.17,0.92,1.06,0.88,0.78,0.93,0.68,0.69,0.5,0.7,0.82,0.93
baadengine.csv,0.29,0.88,0.93,0.72,0.57,0.77,1.0,0.81,0.96,0.51,0.98,0.93,1.0
gdis.csv,0.73,0.87,0.77,1.1,0.67,0.58,0.79,0.81,0.78,1.0,0.61,0.75,0.18
gogoego.csv,0.79,1.06,0.96,0.13,0.66,0.88,0.41,0.59,0.68,0.49,0.59,0.85,0.44
impala.csv,0.95,0.68,0.74,0.45,0.85,0.79,0.74,0.74,0.75,0.9,0.85,0.51,0.71
jgameai.csv,0.97,0.45,0.99,1.0,0.91,0.57,1.0,0.89,0.92,0.88,0.78,0.92,0.95
jhotdraw.csv,0.89,0.72,0.75,0.79,0.97,0.88,1.0,0.97,0.43,0.95,0.5,0.75,1.03
patterntesting.csv,1.0,0.97,1.0,0.98,0.83,0.97,0.96,0.97,0.89,0.4,0.95,0.84,0.79
pokeglobal.csv,0.84,0.82,1.01,0.33,0.4,0.73,1.0,0.59,0.92,0.52,0.81,0.76,0.77
werx.csv,0.99,0.83,0.03,1.0,0.97,1.0,1.0,0.95,1.0,1.0,0.97,0.96,1.0
zealos.csv,0.85,0.81,0.89,1.01,0.98,0.81,0.41,0.84,0.97,0.74,0.59,1.0,0.7
