,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.45,0.6,0.25,0.53,0.34,0.29,0.41,0.23,0.07,0.66,0.2,0.23,0.0
avifile.csv,0.16,0.17,0.0,0.35,0.03,0.27,0.03,0.33,0.43,0.17,0.35,0.3,0.92
baadengine.csv,0.19,0.86,0.5,0.72,0.24,0.33,1.0,0.8,0.95,0.47,0.98,0.93,1.0
gdis.csv,0.14,0.35,0.75,0.46,0.62,0.29,0.79,0.77,0.73,1.0,0.31,0.61,0.0
gogoego.csv,0.16,0.34,0.5,0.13,0.59,0.49,0.34,0.3,0.33,0.43,0.44,0.44,0.31
impala.csv,0.08,0.65,0.0,0.45,0.79,0.78,0.44,0.62,0.59,0.26,0.22,0.25,0.08
jgameai.csv,0.82,0.22,0.25,0.06,0.1,0.33,0.0,0.12,0.17,0.13,0.05,0.05,0.69
jhotdraw.csv,0.86,0.69,0.75,0.79,0.97,0.87,0.0,0.97,0.16,0.87,0.25,0.55,1.0
patterntesting.csv,1.0,0.95,1.0,0.98,0.83,0.97,0.96,0.97,0.88,0.21,0.95,0.79,0.77
pokeglobal.csv,0.84,0.82,1.0,0.33,0.28,0.44,1.0,0.36,0.92,0.49,0.75,0.74,0.23
werx.csv,0.99,0.83,0.0,1.0,0.97,1.0,1.0,0.94,1.0,1.0,0.96,0.96,1.0
zealos.csv,0.06,0.11,0.0,0.16,0.03,0.06,0.34,0.11,0.04,0.06,0.16,0.03,0.38
