,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.49,0.18,0.44,0.61,0.33,0.41,0.66,0.23,0.09,0.64,0.71,0.62,0.0
autofac.csv,0.62,0.18,0.76,0.57,0.57,0.44,0.69,0.23,0.08,0.51,0.65,0.47,0.09
coot.csv,0.88,0.0,0.23,0.63,0.44,0.42,0.0,0.17,0.06,0.48,0.72,0.58,0.11
dsworkbench.csv,0.18,0.83,0.44,0.5,0.1,0.33,0.61,0.22,0.0,0.28,0.23,0.41,0.0
emono.csv,0.79,0.33,0.41,0.74,0.43,0.44,0.33,0.13,0.06,0.52,0.67,0.74,0.15
exist.csv,0.76,0.82,0.67,0.71,0.41,0.51,0.8,0.18,0.0,0.49,0.69,0.68,0.12
freelords.csv,0.9,0.88,0.61,0.74,0.59,0.44,0.73,0.21,0.0,0.52,0.69,0.76,0.12
google-collections.csv,0.9,0.86,0.64,0.85,0.45,0.51,0.72,0.22,0.06,0.54,0.68,0.79,0.11
jchassis.csv,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.44,0.0,0.0,0.0,0.0
jpaul.csv,0.6,0.78,0.43,0.07,0.68,0.18,0.14,0.29,0.19,0.04,0.05,0.0,0.0
neodatis-odb.csv,0.79,0.53,0.55,0.49,0.31,0.63,0.5,0.15,0.08,0.37,0.69,0.47,0.22
octet.csv,0.32,0.56,0.48,0.46,0.29,0.49,0.62,0.5,0.0,0.37,0.51,0.45,0.07
thedata.csv,0.87,0.66,0.56,0.63,0.36,0.41,0.61,0.17,0.0,0.52,0.69,0.61,0.73
