,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.26,0.19,0.33,0.78,0.32,0.0,0.82,0.81,0.8,0.07
h2database.csv,0.24,0.29,0.4,0.54,0.62,0.12,0.97,0.7,0.76,0.03
hannosset.csv,0.12,0.17,0.24,0.31,0.19,0.21,0.9,0.47,0.85,0.03
jaql.csv,0.18,0.21,0.52,0.63,0.6,0.0,1.0,0.79,0.67,0.03
megameknet.csv,0.14,0.15,0.41,0.45,0.43,0.07,0.96,0.54,0.4,0.07
ngl.csv,0.12,0.15,0.47,0.41,0.35,0.07,0.95,0.69,0.52,0.09
qedo.csv,0.06,0.02,0.63,0.21,0.14,0.0,0.86,0.42,0.41,0.24
qmmp.csv,0.14,0.16,0.41,0.4,0.41,0.13,0.93,0.7,0.76,0.06
raven-monitoring.csv,0.11,0.11,0.61,0.44,0.41,0.04,0.96,0.38,0.39,0.07
v8.csv,0.04,0.19,0.34,0.32,0.25,0.12,0.99,0.43,0.4,0.06
