,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.69,0.53,0.37,0.46,0.26,0.21,0.63,0.24,0.42,0.39,0.43,0.54,0.6,0.17
doomlegacy.csv,0.57,0.67,0.6,0.63,0.41,0.53,0.66,0.32,0.57,0.73,0.51,0.0,0.43,0.29
empserver.csv,0.65,0.24,0.61,0.64,0.66,0.6,0.71,0.32,0.6,0.45,0.75,0.65,0.56,0.35
fritzing.csv,0.67,0.74,0.45,0.33,0.07,0.22,0.53,0.05,0.27,0.18,0.36,0.17,0.36,0.09
ifmo-game-1.csv,0.42,0.04,0.1,0.84,0.42,0.0,0.38,0.11,0.12,0.13,0.05,0.11,0.22,0.09
jparsec.csv,0.35,0.26,0.37,0.33,0.0,0.46,0.0,0.65,0.05,0.47,0.57,0.31,0.53,0.0
lmms.csv,0.62,0.32,0.65,0.57,0.32,0.21,0.54,0.61,0.59,0.52,0.51,0.54,0.54,0.51
lufa-lib.csv,0.43,0.64,0.46,0.43,0.2,0.31,0.61,0.33,0.68,0.42,0.5,0.46,0.34,0.34
pgui.csv,0.38,0.5,0.0,0.05,0.63,0.0,0.69,0.36,0.09,0.0,0.53,0.0,0.1,0.0
pi-qmc.csv,0.28,0.12,0.6,0.32,0.39,0.7,0.27,0.5,0.3,0.48,0.54,0.86,0.36,0.37
repositorium.csv,0.31,0.21,0.54,0.62,0.04,0.93,0.0,0.33,0.06,0.42,0.53,0.42,0.57,0.01
superwaba.csv,0.73,0.69,0.58,0.55,0.51,0.64,0.65,0.63,0.39,0.5,0.4,0.46,0.54,0.38
xapian.csv,0.05,0.41,0.52,0.59,0.57,0.67,0.65,0.48,0.53,0.59,0.67,0.41,0.41,0.49
zemljanka.csv,0.55,0.52,0.43,0.69,0.41,0.48,0.46,0.05,0.41,0.57,0.24,0.52,0.49,0.82
