,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.26,0.62,0.48,0.21,0.0,0.57,0.65,0.6,0.42,0.41,0.39,0.61,0.61,0.58,0.69
autowikibrowser.csv,0.31,0.7,0.38,0.19,0.47,0.54,0.7,0.6,0.42,0.41,0.33,0.67,0.67,0.54,0.74
blue-c.csv,0.19,0.56,0.57,0.19,0.0,0.53,0.68,0.82,0.26,0.37,0.35,0.56,0.57,0.45,0.64
dynalloy.csv,0.14,0.55,0.75,0.1,0.0,0.48,0.65,0.54,0.25,0.27,0.33,0.57,0.51,0.39,0.65
hydrogen.csv,0.26,0.63,0.53,0.19,0.41,0.53,0.65,0.71,0.56,0.38,0.0,0.57,0.62,0.35,0.59
jcae.csv,0.12,0.7,0.24,0.55,0.07,0.47,0.47,0.69,0.52,0.53,0.4,0.53,0.63,0.52,0.48
lphant.csv,0.32,0.6,0.53,0.2,0.37,0.52,0.65,0.68,0.39,0.38,0.3,0.72,0.69,0.5,0.69
nosleepsoftware.csv,0.44,0.45,0.04,0.0,0.63,0.06,0.11,0.06,0.0,0.05,0.0,0.09,0.23,0.23,0.43
qgo.csv,0.27,0.83,0.38,0.21,0.39,0.58,0.62,0.68,0.38,0.42,0.34,0.56,0.66,0.45,0.79
quickfast.csv,0.27,0.55,0.41,0.2,0.54,0.48,0.33,0.53,0.34,0.4,0.33,0.56,0.59,0.36,0.74
rhex.csv,0.48,0.61,0.34,0.17,0.45,0.42,0.38,0.35,0.44,0.35,0.19,0.09,0.33,0.5,0.55
rocrail.csv,0.34,0.57,0.42,0.23,0.45,0.5,0.65,0.64,0.48,0.42,0.26,0.65,0.49,0.68,0.36
virtuoso.csv,0.22,0.64,0.54,0.19,0.41,0.51,0.62,0.71,0.23,0.47,0.17,0.55,0.6,0.36,0.43
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0
yield.csv,0.19,0.68,0.6,0.19,0.21,0.54,0.76,0.81,0.25,0.38,0.35,0.58,0.65,0.43,0.71
