,f1,g,recall,precision,pf,cdom,bellwether
1,0.84,0.645,0.56,0.52,0.48,7.0,logicmail.csv
10,0.52,0.8400000000000001,0.52,0.645,0.645,1.0,atunes.csv
13,0.5349999999999999,0.745,0.545,0.525,0.505,9.0,amanda.csv
27,0.675,0.585,0.385,0.44,0.44,5.0,exordium.csv
34,0.5,0.705,0.5,0.46,0.45,16.0,igarden.csv
52,0.75,0.56,0.53,0.5,0.49,17.0,xcf.csv
24,0.815,0.595,0.575,0.5,0.5,1.0,magicwars.csv
25,0.465,0.43,0.395,0.455,0.47,3.0,personalaccess.csv
26,0.78,0.69,0.6,0.565,0.6,0.0,xmemcached.csv
