,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.42,0.47,0.0,0.81,0.6,0.06,0.0,0.0,0.63,0.47,0.06,0.69,0.31,0.17,0.0,0.0
codepurge.csv,0.62,0.53,0.58,0.46,0.82,0.57,0.08,0.62,0.12,0.62,0.54,0.18,0.7,0.44,0.25,0.46,0.16
fontforge.csv,0.61,0.47,0.59,0.53,0.82,0.59,0.04,0.69,0.23,0.66,0.77,0.17,0.78,0.25,0.22,0.48,0.33
gmerlin.csv,0.0,0.44,0.62,0.53,0.0,0.58,0.04,0.0,0.24,0.0,0.88,0.19,0.83,0.25,0.0,0.54,0.32
hatari.csv,0.56,0.54,0.69,0.49,0.79,0.55,0.05,0.58,0.24,0.64,0.74,0.18,0.57,0.12,0.22,0.4,0.17
jaolt.csv,0.66,0.49,0.62,0.47,0.56,0.48,0.07,0.59,0.29,0.47,0.86,0.19,0.7,0.36,0.25,0.45,0.32
jcl.csv,0.66,0.51,0.59,0.46,0.82,0.57,0.05,0.53,0.13,0.57,0.72,0.15,0.61,0.22,0.36,0.53,0.22
ltp.csv,0.36,0.43,0.59,0.55,0.79,0.53,0.0,0.58,0.22,0.55,0.77,0.2,0.61,0.25,0.21,0.36,0.33
mia.csv,0.57,0.43,0.52,0.43,0.49,0.37,0.06,0.65,0.15,0.63,0.57,0.29,0.37,0.18,0.14,0.49,0.31
net-snmp.csv,0.61,0.48,0.6,0.53,0.8,0.55,0.09,0.63,0.26,0.42,0.81,0.22,0.52,0.15,0.18,0.43,0.14
opde.csv,0.62,0.39,0.62,0.52,0.82,0.51,0.12,0.62,0.27,0.0,0.71,0.17,0.68,0.29,0.2,0.39,0.29
oppna-program-hsatools.csv,0.63,0.52,0.61,0.53,0.82,0.53,0.05,0.59,0.24,0.65,0.9,0.17,0.71,0.22,0.25,0.47,0.23
powerfolder-.csv,0.54,0.64,0.48,0.39,0.4,0.34,0.15,0.42,0.32,0.49,0.65,0.15,0.54,0.07,0.2,0.44,0.22
qlc.csv,0.0,0.51,0.0,0.46,0.3,0.55,0.12,0.0,0.43,0.18,0.4,0.15,0.48,0.22,0.34,0.0,0.3
quantlib.csv,0.62,0.18,0.13,0.0,0.82,0.18,0.0,0.61,0.0,0.66,0.16,0.08,0.1,0.0,0.22,0.46,0.44
tcl.csv,0.43,0.35,0.47,0.45,0.69,0.46,0.0,0.0,0.22,0.68,0.71,0.1,0.76,0.14,0.0,0.16,0.32
