,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.55,0.49,0.0,0.3,0.65,0.75,0.0,0.0,0.63,0.36,0.07,0.6,0.59,0.17,0.0,0.0
codepurge.csv,0.47,0.71,0.47,0.56,0.13,0.62,0.85,0.63,0.25,0.6,0.42,0.6,0.61,0.72,0.58,0.58,0.2
fontforge.csv,0.0,0.5,0.0,0.0,0.0,0.66,0.0,0.73,0.17,0.0,0.66,0.3,0.52,0.09,0.05,0.32,0.05
gmerlin.csv,0.0,0.27,0.62,0.0,0.0,0.59,0.0,0.0,0.47,0.0,0.32,0.6,0.0,0.05,0.0,0.63,0.54
hatari.csv,0.6,0.67,0.73,0.47,0.48,0.59,0.62,0.34,0.27,0.39,0.64,0.27,0.49,0.2,0.47,0.42,0.24
jaolt.csv,0.71,0.66,0.59,0.54,0.48,0.53,0.81,0.64,0.68,0.42,0.76,0.43,0.62,0.5,0.53,0.54,0.46
jcl.csv,0.62,0.58,0.62,0.56,0.72,0.62,0.62,0.57,0.34,0.28,0.62,0.2,0.53,0.53,0.71,0.65,0.42
ltp.csv,0.33,0.58,0.42,0.64,0.72,0.57,0.0,0.62,0.54,0.56,0.67,0.59,0.5,0.54,0.51,0.35,0.58
mia.csv,0.6,0.34,0.54,0.48,0.41,0.31,0.78,0.69,0.39,0.09,0.45,0.54,0.27,0.15,0.25,0.55,0.45
net-snmp.csv,0.64,0.64,0.64,0.63,0.35,0.52,0.88,0.36,0.38,0.42,0.39,0.61,0.42,0.32,0.39,0.54,0.27
opde.csv,0.0,0.5,0.0,0.52,0.27,0.58,0.93,0.65,0.62,0.0,0.6,0.17,0.52,0.58,0.46,0.49,0.45
oppna-program-hsatools.csv,0.61,0.66,0.64,0.0,0.63,0.55,0.54,0.24,0.37,0.21,0.85,0.05,0.6,0.25,0.63,0.6,0.44
powerfolder-.csv,0.58,0.74,0.43,0.48,0.33,0.3,0.95,0.42,0.68,0.5,0.53,0.51,0.44,0.05,0.54,0.54,0.33
qlc.csv,0.0,0.66,0.0,0.55,0.22,0.56,0.92,0.0,0.8,0.12,0.29,0.39,0.38,0.25,0.54,0.0,0.37
quantlib.csv,0.0,0.16,0.09,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.11,0.07,0.06,0.0,0.0,0.0,0.67
tcl.csv,0.45,0.43,0.46,0.31,0.58,0.52,0.0,0.0,0.46,0.7,0.52,0.36,0.46,0.28,0.0,0.14,0.53
