,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.38,0.27,0.21,0.83,0.37,0.37,1.0,0.18,0.37,0.03,0.09,0.11,0.0,0.12,0.0
cme.csv,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0
hydrate.csv,0.06,0.1,0.29,0.0,0.37,0.0,0.03,0.64,0.1,0.1,0.58,0.23,0.4,0.97,0.2
ivef-sdk.csv,0.79,0.6,0.46,1.0,0.74,1.0,0.61,0.0,0.77,0.41,0.42,0.17,0.2,0.03,0.8
jmri.csv,0.41,0.52,0.97,0.1,0.59,0.43,0.58,0.64,0.57,0.36,0.52,0.6,0.2,0.45,0.8
jython.csv,0.37,0.51,0.49,0.8,0.67,0.88,0.58,0.95,0.67,0.56,0.76,0.63,0.6,0.42,0.8
kdenlive.csv,1.0,0.64,0.52,0.3,0.22,0.15,0.18,0.91,0.63,0.54,0.55,0.6,0.6,0.85,1.0
ninject.csv,0.04,0.01,0.21,0.0,0.04,0.0,0.06,0.45,0.03,0.15,0.21,0.17,0.8,0.36,0.0
ondex.csv,0.2,0.2,0.32,0.0,0.07,0.06,0.06,0.73,0.33,0.36,0.97,0.23,0.0,0.45,0.0
opentibia.csv,0.89,1.0,0.44,1.0,0.37,0.18,0.82,1.0,0.9,0.36,0.91,0.43,0.6,0.88,1.0
projectfactory.csv,0.23,0.12,0.14,0.2,0.15,0.04,0.03,0.27,0.13,0.95,0.33,0.2,0.2,0.45,0.8
taverna.csv,0.18,0.2,0.2,0.17,1.0,0.03,0.03,0.18,0.1,0.08,0.09,0.23,0.2,0.12,0.4
tigermud.csv,0.73,0.72,0.7,0.97,0.85,0.85,0.94,0.64,0.7,0.26,0.76,0.97,0.8,0.73,0.6
unbvision.csv,0.39,0.25,0.39,0.07,0.15,0.06,0.09,0.5,0.93,0.36,0.67,0.23,0.4,0.58,0.2
x-ray-mule.csv,0.2,0.22,0.14,0.97,0.41,0.03,0.48,0.09,0.33,0.59,0.27,0.14,0.4,0.15,0.4
