,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.41,0.31,0.25,0.68,0.41,0.42,1.0,0.22,0.39,0.04,0.11,0.13,0.0,0.15,0.0
cme.csv,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0
hydrate.csv,0.07,0.12,0.33,0.0,0.41,0.0,0.04,0.39,0.12,0.12,0.55,0.27,0.45,0.95,0.23
ivef-sdk.csv,0.47,0.62,0.47,0.62,0.59,1.0,0.55,0.0,0.55,0.44,0.45,0.2,0.2,0.04,0.73
jmri.csv,0.43,0.52,0.97,0.12,0.54,0.44,0.51,0.68,0.58,0.4,0.53,0.52,0.23,0.43,0.66
jython.csv,0.4,0.52,0.49,0.67,0.55,0.88,0.56,0.96,0.59,0.56,0.64,0.43,0.46,0.44,0.7
kdenlive.csv,1.0,0.61,0.52,0.29,0.25,0.12,0.21,0.89,0.61,0.53,0.5,0.54,0.63,0.71,0.78
ninject.csv,0.05,0.01,0.25,0.0,0.05,0.0,0.07,0.5,0.04,0.18,0.25,0.2,0.83,0.4,0.0
ondex.csv,0.24,0.23,0.36,0.0,0.09,0.07,0.07,0.76,0.38,0.4,0.98,0.26,0.0,0.47,0.0
opentibia.csv,0.54,0.98,0.47,0.0,0.39,0.21,0.75,0.05,0.5,0.4,0.35,0.47,0.63,0.65,0.83
projectfactory.csv,0.27,0.14,0.17,0.24,0.18,0.05,0.04,0.31,0.16,0.96,0.38,0.23,0.24,0.49,0.76
taverna.csv,0.21,0.24,0.23,0.2,1.0,0.04,0.04,0.21,0.12,0.1,0.11,0.27,0.24,0.15,0.44
tigermud.csv,0.61,0.52,0.48,0.55,0.53,0.86,0.62,0.46,0.37,0.29,0.54,0.96,0.56,0.64,0.49
unbvision.csv,0.44,0.29,0.43,0.09,0.18,0.07,0.11,0.54,0.94,0.4,0.65,0.26,0.45,0.61,0.23
x-ray-mule.csv,0.23,0.26,0.17,0.98,0.44,0.04,0.51,0.11,0.34,0.53,0.31,0.17,0.41,0.18,0.45
