,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,394.0,192.5,382.0,89.5,432.0,296.5,198.0,888.0,96.5,96.5
flexpay.csv,197.5,91.5,99.0,313.0,144.5,97.5,196.0,427.5,497.0,92.5
jstock.csv,296.0,93.5,197.0,338.5,46.5,98.5,97.5,436.5,418.5,93.5
keyczar.csv,259.5,89.5,460.0,282.5,565.0,398.5,97.5,283.0,234.5,98.5
modellus.csv,494.0,93.5,198.0,51.5,104.0,97.5,97.5,165.5,523.0,98.5
open-data-kit.csv,395.0,289.0,198.0,286.5,89.5,296.5,288.0,969.5,469.5,93.5
phet.csv,95.5,188.5,99.0,375.0,476.5,296.5,198.0,1159.5,96.5,98.5
qtractor.csv,197.5,190.0,99.0,63.5,351.0,97.5,97.5,235.5,873.5,98.5
sumatrapdf.csv,494.0,289.0,198.0,286.5,275.0,196.5,198.0,1041.0,292.5,98.5
synergyspace.csv,395.0,190.5,198.0,55.5,98.5,197.5,195.5,753.5,347.0,92.5
