,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,0.66,0.51,0.58,0.41,0.61,0.77,0.8,0.61,0.51,0.37,0.93,0.68,0.32,0.73,0.45,0.6,0.57,0.41
fbmanager.csv,0.42,1.0,0.94,0.39,0.53,0.58,0.96,0.94,1.0,0.68,1.0,0.94,1.0,1.0,0.42,1.0,1.0,1.0
freenet.csv,0.71,0.77,0.97,0.88,0.6,0.68,0.44,0.81,0.99,1.0,0.75,0.87,1.01,0.59,0.79,0.88,0.66,0.72
geogebra.csv,1.01,0.62,0.67,0.55,0.57,0.75,0.63,0.53,0.62,0.58,0.68,0.67,0.34,0.63,0.71,0.84,0.63,0.44
google-caja.csv,0.89,0.44,0.9,0.46,0.55,0.63,0.75,0.72,0.74,0.78,0.32,0.7,0.22,0.7,0.46,0.7,0.62,0.59
hibernate.csv,0.42,0.51,0.63,0.44,0.69,0.63,0.51,0.61,0.74,0.56,0.58,0.69,0.26,0.59,0.5,0.77,0.56,0.55
illumination.csv,0.91,0.62,0.85,1.0,0.89,1.0,0.87,0.72,1.0,0.96,0.69,0.95,1.0,1.0,1.0,0.27,1.0,1.0
kindb.csv,0.8,0.54,0.79,0.52,0.72,0.82,0.63,0.55,0.83,0.6,0.73,0.56,0.19,0.61,0.69,0.91,0.73,0.69
officefloor.csv,0.41,0.62,0.88,0.74,0.7,0.82,0.66,0.6,0.45,0.53,0.81,0.67,0.56,0.82,0.38,0.94,0.61,0.59
paintown.csv,0.9,0.37,0.68,0.69,0.94,0.71,0.67,0.71,0.93,1.02,1.01,0.58,0.48,0.75,0.88,0.69,0.87,0.92
poormans.csv,1.02,0.87,0.53,0.95,0.53,0.81,0.53,0.91,0.5,0.57,0.71,0.76,0.98,1.0,0.32,0.67,0.8,0.56
qlc.csv,1.15,0.54,0.53,0.49,0.55,0.72,0.6,0.46,0.6,0.5,0.4,0.73,0.65,0.57,0.51,0.7,0.61,0.66
repositorium.csv,1.02,0.84,0.76,0.81,0.71,0.99,0.78,0.83,0.93,1.0,0.74,0.53,1.0,0.42,0.87,0.72,0.92,0.91
sevenupdate.csv,0.96,0.89,0.81,0.64,1.0,0.24,0.87,0.89,1.0,0.63,0.9,1.0,1.0,1.0,1.0,0.8,0.93,0.86
sqlpower-library.csv,0.49,0.95,0.86,0.97,0.43,1.0,0.67,0.79,0.85,0.9,0.43,0.75,1.0,0.99,0.78,0.95,0.75,0.66
triplea.csv,0.75,0.52,0.37,0.56,0.8,0.73,0.82,0.52,0.75,0.59,0.68,0.73,0.29,0.79,0.84,0.71,0.64,0.51
yarp0.csv,0.56,0.54,0.71,0.75,0.61,0.84,0.8,0.64,0.73,0.75,0.79,0.36,0.59,0.96,0.67,0.61,0.74,0.84
