,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.5,0.39,0.19,0.81,0.07,0.54,0.51,0.1,0.03,0.69,0.64
cubefs.csv,0.33,0.37,0.3,0.8,0.11,0.68,0.69,0.81,0.06,0.77,0.63
iaml.csv,0.51,0.1,0.36,0.56,0.2,0.44,0.73,0.44,0.06,0.62,0.59
ivataopenportal.csv,0.54,0.37,0.33,0.88,0.2,0.72,0.65,0.81,0.0,0.78,0.63
mb-unit.csv,0.52,0.37,0.25,0.92,0.16,0.68,0.72,0.8,0.03,0.84,0.61
mvdsv.csv,0.02,0.0,0.0,0.04,1.0,0.02,0.07,0.03,0.0,0.22,0.09
nova.csv,0.43,0.71,0.37,0.48,0.0,0.37,0.54,0.65,0.05,0.42,0.55
olex2.csv,0.54,0.47,0.26,0.75,0.3,0.65,0.55,0.7,0.0,0.71,0.67
openwbem.csv,0.47,0.25,0.3,0.5,0.31,0.41,0.35,0.42,0.1,0.26,0.54
xcmetadataservicestoolkit.csv,0.47,0.32,0.2,0.75,0.0,0.61,0.5,0.44,0.03,0.85,0.62
