,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.42,0.43,0.18,0.45,0.18,0.94,0.22,0.63,0.32,0.28,0.23,0.28,0.27,0.41,0.18,0.63
bdbbasic.csv,0.49,0.52,0.12,0.53,0.24,0.54,0.21,0.54,0.97,0.57,0.45,0.55,0.48,0.56,0.08,0.58
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
echongl.csv,0.43,0.22,0.08,0.62,0.38,0.39,0.63,0.61,0.5,0.99,0.3,0.62,0.78,0.45,0.0,0.24
etherboot.csv,0.39,0.23,0.0,0.36,0.95,0.13,0.44,0.43,0.39,0.44,0.21,0.43,0.45,0.21,0.22,0.05
freebios.csv,0.47,0.3,0.1,0.55,0.35,0.43,0.96,0.51,0.42,0.45,0.32,0.59,0.44,0.66,0.12,0.39
gebr.csv,0.41,0.27,0.07,0.71,0.47,0.51,0.5,0.98,0.48,0.83,0.28,0.79,0.87,0.7,0.06,0.68
glelite.csv,0.45,0.25,0.07,0.72,0.42,0.48,0.62,0.84,0.44,0.84,0.33,0.86,1.0,0.73,0.05,0.64
gnukeda.csv,0.34,0.41,0.1,0.96,0.42,0.54,0.39,0.68,0.54,0.65,0.33,0.7,0.51,0.54,0.06,0.65
google-gears.csv,0.47,0.42,0.13,0.73,0.36,0.38,0.41,0.77,0.53,0.78,0.27,1.0,0.86,0.67,0.11,0.56
gstreamer.csv,0.54,0.35,0.08,0.52,0.35,0.49,0.33,0.63,0.47,0.69,0.36,0.63,0.6,0.99,0.11,0.59
jnode.csv,0.06,0.08,0.9,0.0,0.07,0.0,0.0,0.33,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.15
metacosm.csv,0.5,0.47,0.1,0.57,0.23,0.54,0.26,0.25,0.45,0.64,0.39,0.43,0.44,0.35,0.06,0.96
openmeetings.csv,0.38,0.93,0.06,0.33,0.25,0.55,0.27,0.26,0.5,0.49,0.39,0.43,0.38,0.57,0.13,0.6
tradelink.csv,0.36,0.19,0.05,0.55,0.22,0.5,0.11,0.13,0.49,0.68,0.94,0.52,0.34,0.52,0.13,0.34
wxcrp.csv,0.95,0.24,0.09,0.26,0.12,0.18,0.04,0.25,0.44,0.22,0.24,0.3,0.29,0.45,0.07,0.48
