,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.52,0.53,0.1,0.68,0.27,1.0,0.44,0.67,0.67,0.64,0.2,0.83,0.92,0.82,0.1,0.71
bdbbasic.csv,0.4,0.4,0.07,0.83,0.22,0.45,0.39,0.97,1.0,0.66,0.37,0.86,1.0,0.8,0.04,0.72
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
echongl.csv,0.3,0.14,0.04,0.53,0.26,0.28,0.58,0.62,0.35,0.99,0.2,0.76,1.0,0.45,0.0,0.33
etherboot.csv,0.31,0.18,0.0,0.82,1.0,0.17,0.67,0.58,0.33,0.85,0.21,0.81,0.98,0.67,0.17,0.08
freebios.csv,0.36,0.21,0.05,0.51,0.27,0.36,0.98,0.62,0.32,0.74,0.22,0.76,1.0,0.65,0.06,0.57
gebr.csv,0.28,0.16,0.03,0.65,0.32,0.35,0.42,0.99,0.32,0.73,0.18,0.79,0.98,0.6,0.03,0.53
glelite.csv,0.29,0.14,0.04,0.56,0.27,0.32,0.47,0.72,0.28,0.72,0.2,0.76,1.0,0.58,0.03,0.47
gnukeda.csv,0.26,0.28,0.05,1.0,0.3,0.4,0.48,0.91,0.5,0.78,0.22,0.78,0.95,0.8,0.03,0.54
google-gears.csv,0.34,0.31,0.08,0.65,0.25,0.42,0.37,0.72,0.41,0.72,0.18,1.0,0.98,0.69,0.06,0.61
gstreamer.csv,0.41,0.23,0.04,0.65,0.31,0.37,0.5,0.92,0.33,0.72,0.26,0.78,1.0,0.99,0.06,0.59
jnode.csv,0.5,0.05,1.0,0.0,0.12,0.0,0.0,0.59,0.0,0.0,0.5,0.86,0.0,0.0,0.0,0.23
metacosm.csv,0.44,0.38,0.05,0.81,0.24,0.43,0.67,0.93,0.43,0.88,0.36,0.79,0.96,0.66,0.03,0.96
openmeetings.csv,0.45,1.0,0.04,0.8,0.28,0.43,0.4,0.94,0.78,0.62,0.41,0.87,0.95,0.83,0.07,0.65
tradelink.csv,0.33,0.2,0.05,0.74,0.27,0.34,0.75,1.0,0.33,0.75,1.0,0.91,1.0,0.84,0.07,0.75
wxcrp.csv,0.97,0.14,0.05,0.75,0.17,0.25,0.33,0.93,0.75,0.76,0.22,0.91,1.0,0.79,0.03,0.42
